ego_size	coreness	hub_score	constraint	eccentricity	local_scan	subgraph_centrality	transitivity
MS4A1	4	3	0.000805776359918769	0.343533590761625	10	5	495462230811377	0.666666666666667
CDCA8	30	18	0.00736693882431287	0.0927170077078341	11	337	41412424461622552	0.758620689655172
COL6A3	4	3	8.19750091279812e-06	0.45376669186193	12	4	51278697365.8157	0.333333333333333
CCL5	12	5	0.00023943234874896	0.102396881617661	10	13	43745784733014.8	0.0363636363636364
MCM3	31	15	0.0115917692517999	0.0787133403714088	10	209	102578760042637536	0.411494252873563
CDC25A	12	9	0.0235254855079956	0.10223004750324	10	22	422306817519165056	0.2
TOP2A	13	10	0.005568493093431	0.0893313541006377	9	25	23705056063154312	0.196969696969697
CDC25C	13	9	0.00535246364412909	0.0908490432220082	9	25	21862057755708524	0.196969696969697
XRCC2	7	6	0.000286201542227446	0.296925583433238	11	20	62536767675979.6	0.933333333333333
CHEK1	33	13	0.00724517233282317	0.0534062486333963	10	161	40066381707115544	0.26008064516129
SLA	13	9	0.002037957415089	0.111220231493341	10	32	3169260899376880	0.303030303030303
PSMD3	41	23	0.00626308140517626	0.0759335844756683	10	503	29937876935524464	0.593589743589744
PTPRB	6	4	0.000144640964940729	0.2	11	5	15964192268492.4	0
PBK	6	5	0.00158290458170875	0.203111510463049	10	6	1911912733673695	0.1
FLI1	7	5	0.000745470714133025	0.173764159486454	10	7	424375941987828	0.0666666666666667
RPS16	83	39	0.965390200724218	0.0382766453047424	9	1703	7.11141032631181e+20	0.488105992171033
FOXM1	5	4	0.00298496984097838	0.264244441664709	10	7	6798892072841038	0.5
SLA2	4	3	0.000704940955216149	0.346981424406497	11	4	379207862138084	0.333333333333333
PLK1	95	18	0.0504551278539157	0.0228069838446912	10	615	1942505058988732928	0.119194692290094
CDC45	27	15	0.00723026224511641	0.0939356218315451	10	210	39895407227899008	0.566153846153846
RRM2	3	2	0.000930884295136373	0.5	10	2	661266919577809	0
RACGAP1	17	6	0.00775944884962827	0.0665907287597656	10	18	45942591078457456	0.0166666666666667
PRF1	14	7	0.00115446279363342	0.0948458436294597	10	21	1018074681648120	0.102564102564103
FYB1	11	5	0.0012740140488097	0.119652825006618	11	18	1238586070125961	0.177777777777778
PSMB6	39	23	0.00814858086582751	0.0812065813300005	10	491	50676369469046056	0.644381223328592
PSMA5	39	23	0.00620140307192629	0.088234397210117	10	540	29351073464897056	0.714082503556188
EME1	7	5	0.00037961119766639	0.274243000126819	10	16	109984122628859	0.666666666666667
TIE1	2	1	1.46216425962791e-05	1	11	1	163147226053.89	NA
S100A9	9	4	0.00742107669676073	0.165534336419753	10	12	42023080681020056	0.142857142857143
MMP2	25	6	0.000158549013738291	0.0528721040292133	11	39	19183021335819.8	0.0543478260869565
ZAP70	50	11	0.0115460558445211	0.0330453407930695	10	166	101725346856244496	0.0994897959183674
CD79A	13	8	0.00140431531912396	0.120890642127776	10	36	1504924871127047	0.363636363636364
GINS2	10	9	0.00244950522192501	0.216924121967048	11	45	4579066324095423	1
RAD51AP1	4	3	0.000324018078928169	0.382349298887365	11	6	80153466457929.8	1
NDUFA12	29	21	7.77816485027339e-05	0.126170279564596	11	361	4624578080765.74	0.880952380952381
ORC6	24	15	0.00770554127959865	0.104025151745053	10	196	45313186248054856	0.683794466403162
EMC7	7	4	3.37685881812661e-05	0.462146478961955	11	17	871523711322.498	0.733333333333333
COL6A2	4	3	8.32787523246271e-06	0.45376669186193	11	4	52928280753.963	0.333333333333333
PSME2	20	18	0.00427681297279723	0.107795894531946	10	162	13962762425707320	0.83625730994152
RPS10	78	39	0.927773351411295	0.0390546395554039	10	1597	6.5680094760572e+20	0.51948051948052
IL2RG	17	7	0.00760699329734458	0.0975381732271082	10	37	44155053672257800	0.175
MYH11	15	8	0.00518505269546652	0.138081544358475	10	47	20514404351274448	0.362637362637363
RPS27A	194	39	1	0.0112493869716402	9	2050	7.63044177438051e+20	0.100226683937824
WAS	30	11	0.0105411600429903	0.0406013195248789	10	56	84788599464374432	0.0665024630541872
FASLG	18	8	0.00838377026056264	0.0709960374373556	10	34	53633457664633928	0.125
LAX1	5	4	0.000781969895328842	0.265676797920145	10	7	466605966005885	0.5
CDC6	25	15	0.00970411482533053	0.0930944363359632	10	198	71868266048717384	0.630434782608696
CCNB1	35	12	0.0316908451956425	0.0434059407043648	9	113	766337266426248832	0.140819964349376
ECT2	6	5	0.00202547324501049	0.22898468032001	10	8	3130482724327631	0.3
LY9	3	2	0.000137475460712439	0.5	11	2	14421410128319.8	0
MCM7	50	15	0.0659006961175174	0.0424769503904295	10	282	3313841874799241728	0.19812925170068
COL6A1	8	4	0.000257377607041461	0.185559619255866	11	10	50547214915138.5	0.142857142857143
MCM5	31	15	0.0102314913770345	0.0847457443447614	10	224	79930949870462640	0.445977011494253
NCAPG	8	5	0.000341339982609581	0.266891490286945	11	18	88917018062547.6	0.523809523809524
TYROBP	12	3	0.000603266860614154	0.102132506123944	11	12	277706402839886	0.0181818181818182
CD53	5	4	9.11111649968674e-05	0.263511259040105	11	5	6334829710341.46	0.166666666666667
CXCR4	32	11	0.00926926773505453	0.0425382926808282	9	104	65563370286163848	0.156989247311828
DAPP1	5	4	0.000480048225740954	0.254786563367313	10	5	175859033200738	0.166666666666667
CENPK	20	16	0.00551983993211058	0.109585826823432	11	143	23249121639105984	0.725146198830409
MRPS22	41	29	0.00343122518049818	0.0575493897381926	10	462	285381135181412928	0.541025641025641
RFC4	53	13	0.0452782892781161	0.0454676437471959	10	340	1564431524044807168	0.217194570135747
NDUFB10	33	21	8.68787895837854e-05	0.110267769019814	11	383	5769543299333.44	0.707661290322581
REG3A	4	1	0.000133473967139018	0.333333333333333	11	3	13594532808637.9	0
NDUFS4	27	21	7.42704292744599e-05	0.129866481719894	11	324	4216335101458.91	0.916923076923077
GNGT2	79	11	0.00132299360545482	0.0309989730234901	10	275	1335810636224315	0.0656010656010656
CTLA4	13	8	0.00196794070936184	0.103391849857373	10	24	2955269841110391	0.181818181818182
EIF3H	37	26	0.418193214247544	0.0624441352773264	10	471	1.33445541056652e+20	0.69047619047619
CCT4	20	9	0.00614581406838207	0.109425385654365	9	80	28823509067013792	0.35672514619883
MRPS31	25	22	0.00167258413999889	0.0823140301142268	10	223	111683350549989152	0.721014492753623
ATP5F1B	6	3	0.000278435683134597	0.2	11	5	59158355900194.1	0
ACTR2	37	11	0.0371479781748571	0.0527398999954099	10	157	1052981341618238720	0.192063492063492
ORC1	33	15	0.044055788364149	0.0635121673169711	10	223	1481010329162420480	0.38508064516129
MKI67	7	5	0.00234929289903214	0.167918661518442	10	7	4212310354380750	0.0666666666666667
RPL37A	56	39	0.804948384194319	0.0544527854992796	10	1232	4.944087636257e+20	0.792592592592593
FCGR2A	10	6	0.00137336435530169	0.116391538792971	10	17	1439404321317505	0.222222222222222
CD300LF	3	2	0.000173959895335476	0.5	11	2	23093960493909.1	0
ID4	4	3	6.44507897722919e-05	0.440489745944291	10	6	3170691257743.78	1
PPIH	49	23	0.0527051098701777	0.0437135087976465	10	594	2143890218439084800	0.484042553191489
MAP4K1	13	10	0.0031165687668244	0.0986367176851627	10	34	7411696243318188	0.333333333333333
DTL	10	9	0.00553079723051798	0.148683916129727	10	42	23348564593283396	0.916666666666667
HIST1H2AC	16	10	0.00148559188498909	0.0760931972326196	10	24	1685891840119538	0.0857142857142857
MAGT1	6	5	0.000278431863422264	0.39892174351222	10	15	59162026599916.3	1
SERPIND1	3	2	7.21468763539708e-06	0.5	11	2	39725759412.2654	0
ITGAM	10	4	0.000142685598618657	0.123300247717647	11	12	15535986113526.5	0.0833333333333333
SLAMF7	2	1	0.000137064954388572	1	11	1	14335410960785.2	NA
CD79B	11	8	0.00141535026037662	0.140477492146318	10	34	1528668471184316	0.533333333333333
THBS2	3	2	8.94629079610419e-06	0.5	12	2	61078509009.4299	0
CR1	6	3	9.31142305294366e-05	0.2	11	5	6616303756426.49	0
APLNR	13	10	0.000305931868634415	0.0932704149719419	10	32	71435385437237.8	0.303030303030303
CHD4	16	8	0.00194911300721795	0.0814736660282745	10	29	2900361749619018	0.133333333333333
KIF14	2	1	2.89989317324896e-05	1	11	1	641688446999.539	NA
MAD2L1	56	18	0.0445633323890085	0.0411066807806101	10	453	1515323567214987264	0.268013468013468
BRCA2	30	12	0.012213198271227	0.0529326548819216	9	94	113826942222879856	0.160098522167488
MRVI1	3	2	3.68912689478988e-05	0.562993827160494	10	3	1038922030694.18	1
TOPBP1	29	13	0.00583542034401246	0.0742457363265095	10	183	25991489098544016	0.41005291005291
RPLP0	66	39	0.858232990011687	0.0459504646814741	10	1382	5.62030999136144e+20	0.633173076923077
RPL13A	67	39	0.878063879332082	0.0462776071985783	10	1438	5.88304498799197e+20	0.63962703962704
SPDL1	28	18	0.00620493388477693	0.088430851997965	11	262	29378680636956484	0.66951566951567
KIF20A	4	3	0.00120577686217198	0.333333333333333	10	3	1109402328907309	0
TLR8	4	3	9.23057889866493e-05	0.333333333333333	10	3	6502025896449.76	0
RAD51	37	13	0.00648907591519384	0.0552868029470797	10	186	32142488229165888	0.238095238095238
COX7B	8	6	7.34293894685134e-05	0.371733623721597	11	27	4116481497695.35	0.952380952380952
NLRP3	5	3	0.000120847658331511	0.289171006944444	11	5	11143817480253.1	0.166666666666667
MRPL9	51	29	0.00329527517196391	0.0616195928399388	10	906	581008016908984832	0.698775510204082
CPB2	3	2	1.5905154999617e-05	0.5	11	2	193073728542.779	0
CD86	4	3	0.000185024187249388	0.544638943677405	11	5	26122712573115.7	0.666666666666667
CENPF	21	14	0.00469922324590542	0.0796639203479721	10	112	16850330682846960	0.484210526315789
ALYREF	50	22	0.0603199789409987	0.0341412783428947	10	311	2785776190537300480	0.222789115646259
RPL35	60	39	0.806377284127581	0.0496996565787489	10	1236	4.96165577443649e+20	0.687901811805961
RPL36	56	39	0.78791079141845	0.0507461611549336	10	1171	4.73700759803783e+20	0.751515151515151
RPL6	60	39	0.839965490411215	0.051289966026241	10	1329	5.38360087804571e+20	0.742255990648743
GTSE1	2	1	0.000974900585645504	1	11	1	725225738278055	NA
PSMA7	38	23	0.00793223581912363	0.0794577794677327	10	460	48021640023079896	0.635135135135135
SLAMF1	5	3	0.000495771019393976	0.262816481840827	11	5	187563735781406	0.166666666666667
CCL19	5	2	1.40733619058495e-06	0.25	12	4	1521514809.55122	0
IL7R	9	6	0.000861112767663708	0.162304827950665	10	16	565865048932865	0.285714285714286
FBLN2	17	5	8.50491203456221e-05	0.0708932654547529	11	21	5520819363151.99	0.0416666666666667
ASF1B	16	7	0.000720070248982551	0.0951256672454265	9	29	395680351507379	0.133333333333333
PLAUR	12	6	0.00111750260304968	0.0986121351119648	11	16	952929975873361	0.0909090909090909
SMARCC1	28	11	0.017243570577467	0.0575026259529956	9	93	226944199385403072	0.188034188034188
RPL24	63	39	0.849607192675853	0.048740318082644	10	1359	5.50790273057188e+20	0.685880486515071
CXCR6	12	10	0.000261070926297446	0.102921973940288	10	32	52018056486620.4	0.381818181818182
CCT7	19	9	0.0042949906789045	0.105456087263927	10	69	14076602746088814	0.333333333333333
PECAM1	17	11	0.00365611137289312	0.0719110209492355	10	34	10207181038442936	0.15
CARD16	4	2	0.000403962206845673	0.463462857943009	10	5	124518556863163	0.666666666666667
UQCRC2	7	5	5.92348905464044e-05	0.413046429511696	10	17	2693807913526.46	0.733333333333333
THRAP3	6	5	0.0135155318182527	0.2	10	5	139388891717564944	0
PTGER4	10	9	0.00022690261721667	0.141393066300959	10	28	39293911377690.5	0.527777777777778
LTB	3	2	2.22758867854651e-05	0.5	11	2	378717194254.581	0
CHMP2B	12	7	0.00503067163441856	0.122346839081767	10	22	19311368924604756	0.2
TPM2	28	8	0.00524193943423939	0.0572368761892611	10	56	20967299862594216	0.0826210826210826
GINS4	10	9	0.00244950522192502	0.216924121967048	11	45	4579066324095428	1
PSMD14	35	23	0.00561122771174996	0.088882560423928	10	454	24029072860575900	0.748663101604278
RPLP2	57	39	0.803032418471522	0.0515294197888135	10	1215	4.92057778867709e+20	0.752597402597403
RPL15	64	39	0.827947225955069	0.0447464279482952	10	1288	5.23064398985607e+20	0.627240143369176
MRPS28	49	29	0.00319342617623515	0.061085463545574	10	805	507226014357872064	0.671099290780142
SEC61G	5	3	7.37936637142668e-06	0.521592881944444	12	8	41551895030.4807	0.666666666666667
PJA2	19	11	0.0278960487210011	0.0613206975827489	10	38	593793219963409920	0.130718954248366
PSMA4	39	23	0.00645578751515868	0.0801490075484189	10	490	31810048543858752	0.642958748221906
RPS21	72	39	0.912100551292855	0.0436997717121428	10	1529	6.34797704786642e+20	0.58672032193159
CKS2	7	5	0.0172948834175705	0.205479177020625	10	10	228236879180849888	0.266666666666667
PSMA6	41	23	0.0109733362650837	0.0787776867640572	10	520	91892043112468928	0.615384615384615
CCNA2	35	13	0.0451843562479755	0.0432324353963892	10	146	1557855627971973888	0.199643493761141
MRPL24	56	29	0.00329274118954148	0.0597936674710663	10	1050	674676662606448000	0.67003367003367
HEYL	8	6	0.000262766660991105	0.146357342928515	11	8	52730457940554.2	0.0476190476190476
NDUFA11	26	21	6.23573717428203e-05	0.127175044404724	11	286	2973823453608.99	0.87
GNB1	80	11	0.00273291799684362	0.0371905301507429	9	383	5699443858907800	0.0986692632262253
MCM8	24	15	0.00758065918440416	0.108518759201657	10	196	43855423202667208	0.683794466403162
EIF4B	18	16	0.159193955590701	0.0928037163912119	10	111	19337611975769604096	0.691176470588235
GNB4	95	11	0.00142164592345371	0.0392946671446532	10	467	1542485493359289	0.0853351635781286
C1S	3	2	1.14761862536703e-05	0.6625	11	3	100549900773.54	1
USO1	42	12	0.00539427965628955	0.0487661516775228	10	200	22203559043051728	0.19390243902439
CIT	6	4	0.000118258417340597	0.2	11	5	10672279218421.1	0
CD72	7	5	0.00715825817409259	0.177044544627962	10	11	39099320575497592	0.333333333333333
GNG2	89	11	0.00156730897751005	0.0298364313043021	9	311	1874690537615268	0.0582549634273772
RAD54L	2	1	0.000125382774340387	1	11	1	12002588833523.5	NA
FCER1G	5	3	0.000491302880325694	0.253356160108881	11	5	184194914255557	0.166666666666667
CDH5	12	7	0.00354593761063016	0.0947237155521862	10	15	9594409013433728	0.0727272727272727
COL8A1	6	4	0.00362886470033899	0.202346435947122	10	6	10048300658839418	0.1
IPO7	10	8	0.0462946420131173	0.116627188149672	10	13	1635351630563709952	0.111111111111111
REV1	8	5	0.00181970839012069	0.174854374914795	10	11	2526838494977230	0.19047619047619
PSMF1	12	9	0.00282351848338884	0.105990811773179	10	25	6086497387515521	0.254545454545455
MRPL51	42	29	0.00256317872351133	0.0662450367282781	10	666	419875746212849408	0.76219512195122
DHX9	77	23	0.0971437566920306	0.0245565309334731	9	748	7231331042735866880	0.235789473684211
LMNB1	12	7	0.00234061943275913	0.0948779735423747	10	13	4181822286936660	0.0363636363636364
TACC3	5	4	0.000559133736636339	0.256844222651263	10	5	238656226174577	0.166666666666667
RBM22	40	23	0.0464948807557299	0.051775660493303	10	481	1668463616414918144	0.596491228070176
GINS3	10	9	0.00244950522192502	0.216924121967048	11	45	4579066324095428	1
SEMA4D	4	3	0.000492279527554058	0.333333333333333	11	3	184920295762439	0
CALCOCO2	27	8	0.00338958685353027	0.0413978161474562	10	31	8777068325215977	0.0153846153846154
C8B	5	2	1.77226749089927e-05	0.355625	11	5	239691322398.586	0.166666666666667
CKAP5	47	15	0.0167051331636643	0.0367697234801014	10	233	212941299493311200	0.180676328502415
NDUFB4	29	21	7.77816485027339e-05	0.126170279564596	11	361	4624578080765.77	0.880952380952381
KNTC1	30	18	0.00737062850817827	0.0796146773567859	10	277	41454408965833128	0.610837438423645
PLK4	22	9	0.00311383663118928	0.0859672664452226	10	70	7398655765302222	0.233333333333333
DEF6	6	5	0.000470643746785337	0.202596025589107	10	6	169029824696808	0.1
MRPL20	67	29	0.00596830570995347	0.0495969725580029	10	1202	793406281614206976	0.52960372960373
FEN1	22	13	0.0103482595697225	0.0730182830986929	10	107	81728224666208400	0.40952380952381
STT3B	6	4	0.000272188640320101	0.413761728395062	10	14	56538793912581.5	0.9
RPL10A	56	39	0.814108619469324	0.0547943566767828	10	1246	5.0572533261708e+20	0.802020202020202
CENPH	26	17	0.0059259617241955	0.092394566565199	10	212	26796240209910264	0.623333333333333
TPM4	23	8	0.00406781815330576	0.0781172529425368	10	53	12627386300014318	0.134199134199134
EIF3D	38	26	0.414527854430663	0.0593850691375131	9	466	1.31116537424874e+20	0.644144144144144
NDUFB2	30	21	7.8392044618929e-05	0.123397005511591	11	370	4697517014477.39	0.839901477832512
SERPINC1	6	4	0.000499290152050885	0.2	11	5	190221728463913	0
FGR	22	10	0.00334045178464699	0.0519892128310913	10	35	8515072555963394	0.0666666666666667
NCAPH	7	5	0.000289927366010641	0.32121945074326	11	16	64145358718442.6	0.666666666666667
PPP1R8	11	9	0.00347743875992732	0.103423209784502	9	14	9263083811820630	0.0888888888888889
MRPL16	57	29	0.00340895924430621	0.0610606936646316	10	1140	732351397913367680	0.703896103896104
FBLN5	3	1	3.03647548795417e-08	0.5	13	2	703570.864527601	0
RPL35A	59	39	0.825636616854206	0.0504927207906057	10	1281	5.20149009075194e+20	0.739866908650938
IL18BP	2	1	6.8891906396037e-07	1	12	1	362207684.44801	NA
EDNRB	23	11	0.000569341817221103	0.0594167229874575	10	93	247463060073108	0.307359307359307
SNRNP40	62	23	0.0679812135017935	0.0384015094135041	10	831	3560388844445040128	0.420765027322404
KNG1	12	5	8.5323247251476e-05	0.101381259781153	11	15	5555579699877.28	0.0727272727272727
PTPN1	16	11	0.0117288450439992	0.0711147920642558	9	27	104974634050429952	0.114285714285714
KIF15	4	3	0.000184261460957094	0.333333333333333	11	3	25962109322543.9	0
MDH2	8	3	0.000345295367822848	0.142857142857143	11	7	90978533642458.7	0
MRPL2	52	29	0.00306293202813105	0.0628426568146495	10	976	617694415051126016	0.725490196078431
PSTPIP1	10	7	0.00145000750289367	0.116461124581071	10	11	1604452475702805	0.0555555555555556
CDT1	20	14	0.0105240288849988	0.0927367234604131	10	107	84559402015089136	0.514619883040936
VCAN	17	5	0.000216356406036801	0.0750343767669667	11	22	35719438278166.6	0.05
MNDA	3	1	0.000194087009098048	0.5	10	2	28753168945609.3	0
PRKG1	16	6	0.000422457231691581	0.0727297668038409	9	16	136452842541513	0.00952380952380952
MRPL45	42	29	0.00262176386953085	0.0604951224926199	11	543	341979947656727872	0.61219512195122
MRPS23	46	29	0.0058899153150525	0.0604812753051368	10	701	458951735036187392	0.662626262626263
RPL23A	66	39	0.847293184179512	0.0445364319542682	10	1344	5.47794062342336e+20	0.614903846153846
