markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	lobby	mnc	dmnc	geokpath	laplacian	leverage	lincent	semilocal	topocoefficient	clusterrank
LST1	1.06163906725062e-05	1710.94206349206	375.0634765625	11.4195096814061	42	2	1	0	501	86	-0.284552845528455	1650.0593564874	12339	0.5	0
ABCG8	6.4633251678148e-06	1472.40562770563	234.1240234375	12.6487459290556	3	1	1	0	115	6	-0.333333333333333	1430.65800538812	1174	1	NA
CD8B	2.12241311494364e-05	1817.60119047619	445.6279296875	10.7959555828787	138	4	4	0	932	288	-0.658562572646261	1740.79973040042	52181	0.310185185185185	69
CD8A	2.74989157200602e-05	1943.33095238095	531.5615234375	11.2084849338695	262	10	9	0.0509853030340417	1649	656	-0.0610474771316634	1846.5307422332	101924	0.11563670411985	47.6363636363636
CD180	1.25595213047773e-06	1	1.5	12.6402085009446	2	1	1	0	1	4	0	1	1	NA	NA
RPL18	3.17308728421268e-05	2351.4496031746	820.828125	12.1802642653055	3955	51	57	0.0993362855987827	4143	11102	-0.0478836817661815	2186.70171252646	2262792	0.0866742267582772	3033.15789473684
VAV1	3.13631396231459e-05	2348.7996031746	820.4384765625	12.4569922270394	1646	24	40	0.0823425707278449	4107	5184	0.257415091643698	2186.11280393967	762147	0.0439412282632622	220.974630021142
CENPA	3.13614642466777e-05	2128.94603174603	661.6376953125	12.0531097289467	1362	27	42	0.0875762205531628	2875	4616	0.230437658279045	1989.19810957465	513212	0.0808353808353808	371.454545454545
CENPM	2.92406090293022e-05	1825.83733766234	452.69091796875	10.0919573600766	624	17	18	0.0881226607495283	1061	1554	-0.236765313615101	1732.04426019631	204994	0.263020833333333	473.098039215686
PRKCB	3.09407954532772e-05	2249.66587301587	747.876953125	11.6191786989347	654	16	3	0	3701	2790	0.50644958254059	2112.24281625218	266821	0.0318339852238157	5.29554655870445
NUF2	3.0912281330752e-05	2039.57817460317	598.3759765625	11.930971529162	1249	26	34	0.060933046086936	2270	3688	0.0559223318448831	1915.56632842261	442497	0.127415966386555	684.326050420168
KIF11	1.94663333282422e-05	2024.12857142857	590.8662109375	10.9738984255114	289	3	2	0	2278	584	-0.902544440571628	1913.37320268041	116164	0.345454545454545	96.3333333333333
CDC20	3.18445550258355e-05	2294.90992063492	779.3427734375	9.20271753499026	2456	32	63	0.0939344480197938	3711	9742	0.421449603747827	2117.5956471509	994763	0.0470716264345073	510.522567287785
IGHM	2.65633311663299e-05	1879.11471861472	486.72607421875	11.0297751099501	143	6	2	0	1306	442	0.33606141176003	1792.07884694232	37996	0.085549964054637	1.83333333333333
PTPRC	3.07376727487538e-05	2250.21468253968	749.6240234375	7.96608182557724	1161	18	26	0.0563557016384183	3547	3314	0.189239154464017	2103.64088704602	533231	0.0569196428571429	159.16935483871
IL2RB	2.93145701464719e-05	2223.65198412698	731.6728515625	8.18245326194867	952	16	18	0.0881226607495283	3440	2210	-0.227998887041674	2087.71885218797	446706	0.0918045705279748	273.777777777778
PRKCQ	2.8413709901628e-05	2112.18412698413	651.59765625	10.094330779292	536	12	7	0	2805	1254	-0.190854637304942	1992.75597951883	241257	0.10703933747412	47.1208791208791
GPR65	2.81040773349178e-05	1727.89285714286	390.8505859375	10.5567917843269	778	13	13	0.0551790975027305	670	1712	-0.593210504346784	1636.46806059559	167491	0.313011456628478	359.076923076923
SLAMF6	1.9120305856814e-05	1816.03575036075	445.61865234375	10.2908664691385	125	3	2	0	1003	256	-0.787912087912088	1736.49055681193	54272	0.384126984126984	41.6666666666667
CDCA5	3.05125554310557e-05	1895.07543290043	499.44873046875	6.71735930735931	1060	25	29	0.0650231266220247	1386	2932	-0.0584693231338459	1783.36086874647	360766	0.173423044575273	770.197044334975
MYL9	2.63410357585771e-05	1960.5376984127	543.033203125	8.39797952047952	228	9	9	0.0509853030340417	1810	528	-0.347586452326882	1869.24942430423	98985	0.167816091954023	107.666666666667
DCN	2.92417444702184e-05	2012.83888888889	579.1689453125	8.91766224270811	339	11	9	0.0764779545510625	2070	1098	0.291826808233893	1906.24812130972	87051	0.0682170542635659	17.7571428571429
UBE2C	3.01890919014143e-05	2174.44246031746	696.4150390625	10.3806230623763	1095	18	22	0.0687599210049201	3104	2742	-0.0782343714592271	2033.33132939703	498417	0.0864886731391586	361.032608695652
PTTG1	2.29053813567492e-05	1958.14285714286	544.6630859375	10.276852121543	291	5	4	0.0987551639829222	1824	602	-0.640513970656948	1851.28348483368	141327	0.235537190082645	116.4
BTK	3.10446014697826e-05	2245.21587301587	745.009765625	10.1456724696521	1135	19	30	0.0477898360151821	3478	3910	0.384903140877648	2095.03148735344	495787	0.0437482245038757	103.810975609756
KIF18A	3.07825755769675e-05	2041.8876984127	600.4462890625	9.29407717536326	1196	26	32	0.0582308510157745	2304	3384	-0.0269407721233467	1918.28243475912	430599	0.13179347826087	699.274193548387
SYK	3.19960524073902e-05	2428.24246031746	875.2509765625	7.20665723165723	2274	27	68	0.0922605376301495	4457	10248	0.551877092716566	2244.22149373988	1082987	0.0290642094641245	194.686315789474
SH2D1A	2.55497736264605e-05	2121.7496031746	658.6806640625	9.02825396825397	518	6	5	0	2796	1146	0.0773673875870761	2000.19163615883	251457	0.114495076711701	37.6727272727273
MCM10	3.04904967761296e-05	2118.36507936508	654.818359375	9.36620907777305	892	21	24	0.074325610546641	2796	2540	0.0394157580978947	1990.52210467316	388365	0.0855551134102666	408.243386243386
LUM	1.8718187645713e-05	1588.57741702742	301.76025390625	8.82749007465748	47	4	2	0	309	106	-0.263888888888889	1530.42027580263	7091	0.269736842105263	7.83333333333333
SPARC	2.71558108455965e-05	1810.11908369408	441.44482421875	8.13218738052071	181	8	8	0.0931024214472221	964	494	0.066062335627553	1724.99829993928	36940	0.121681415929204	24.6818181818182
CDK1	3.23093564315705e-05	2531.91150793651	948.078125	7.962468334135	2868	30	87	0.0824781451594942	4873	17946	0.682231434948264	2318.86402220046	1364531	0.0194236789981471	132.477641277641
NEK2	2.78870241101085e-05	1991.71507936508	566.9892578125	8.09981290314624	530	10	11	0.0547010257795201	1995	1192	-0.362203966279724	1880.44623887216	215063	0.164440203562341	208.787878787879
EXO1	3.03671116036151e-05	2034.83650793651	595.8876953125	5.82424242424243	803	19	27	0.0569836874831703	2332	2308	0.0467477713616091	1916.08308885517	336335	0.11778992106861	345.450142450142
ITGAX	2.23550413776013e-05	1743.98495670996	397.45654296875	9.01103711061787	70	5	2	0	677	170	-0.0813852813852814	1673.33521806991	14767	0.185185185185185	4.66666666666667
KDR	3.03237476582103e-05	2253.5876984127	752.4775390625	7.85371665371665	911	16	22	0.0458399473366134	3654	2524	0.176729028096884	2112.79259314345	415662	0.0557458143074581	88.2450142450142
CENPI	3.08620414249006e-05	2008.60436507936	577.1806640625	7.39234870068203	1171	25	35	0.0580535853663286	2080	3532	0.105598244249929	1884.2500331609	411436	0.123411189570885	596.324369747899
HCLS1	2.8006359291074e-05	2001.34761904762	572.4443359375	7.37274854774855	354	11	8	0.0620682809648148	2015	864	-0.13396691206446	1895.05883137673	156048	0.106995884773663	40.8461538461538
RPL31	3.1749658908303e-05	2334.94603174603	808.7080078125	9.07776172835682	3859	50	56	0.0950939935186895	4017	11024	-0.0102464884437272	2169.91690216146	2184249	0.0862977602108037	2750.09195402299
RPS3	3.21241376077106e-05	2424.15674603175	871.1328125	8.64123520583227	4786	51	86	0.0787938615083831	4470	16882	0.274452372468223	2238.91579652469	2682836	0.0575881588943074	2078.07989056088
PLG	2.97407366741367e-05	1986.97817460317	560.7900390625	8.86336207176226	262	10	3	0	1942	1174	0.523837595658615	1880.63295161184	58835	0.0484659848821699	4.03076923076923
CD93	2.69096357634063e-05	1939.89007936508	529.4072265625	8.03265144835987	220	9	2	0.314253343630457	1669	550	-0.0339761166371875	1844.1335843178	66912	0.115494568324757	8
EMC4	9.29618612808175e-06	1506.62702020202	253.88330078125	8.54644638201065	45	5	7	0.0775740148258852	157	132	0.162835204011675	1456.39994873766	2722	0.542857142857143	27.8571428571429
CCR5	3.05986380238453e-05	2207.68174603175	718.4189453125	8.32304503618511	1197	20	21	0.0681218545914215	3237	3450	0.194186240361364	2065.25802347981	376118	0.0641645815957743	102.017045454545
CENPE	3.09343884194772e-05	2038.48293650794	597.7509765625	6.62196580187099	1265	27	35	0.0580535853663286	2271	3720	0.0380430738980068	1913.95324710321	451659	0.129201680672269	718.605042016807
PTPN22	2.5265501643888e-05	1968.40317460317	549.5126953125	6.62196580187099	323	7	7	0.0775740148258852	1848	688	-0.655810898284361	1871.65071313284	156226	0.237593984962406	199.952380952381
PLAU	2.83735250574738e-05	1754.25717893218	405.10888671875	6.62196580187099	190	8	10	0.0427592417900447	755	652	0.320956176916743	1670.0400893487	27211	0.0950226244343891	20.9558823529412
ASGR2	1.52654165149993e-05	1445.29884559885	219.742919921875	7.49072746697747	23	3	2	0	110	52	-0.255952380952381	1403.89988634679	1489	0.372549019607843	7.66666666666667
CEP55	2.14434946753267e-05	2010.48928571429	580.78515625	8.34227685550173	295	4	2	0	2171	602	-0.756285965026517	1902.54617290565	126302	0.2822265625	49.1666666666667
CD74	2.52690971934773e-05	1802.11194083694	435.18896484375	8.558219022099	98	6	4	0	915	286	0.202771672771673	1724.4224454493	19109	0.116666666666667	8.71111111111111
KIF23	2.57771892121133e-05	2039.575	600.58984375	8.76153678051823	337	7	4	0.0987551639829222	2329	730	-0.429222381555039	1928.50407276677	125323	0.145982142857143	48.1428571428571
RPS14	3.21077635092115e-05	2423.17579365079	870.7734375	5.15703463203463	4747	51	80	0.0855912624228588	4381	16466	0.257431408369883	2233.63512716695	2591084	0.0557430007178751	2009.917383821
NID2	2.14143143376486e-05	1629.85559163059	326.18408203125	7.35938533688534	64	4	2	0	367	148	-0.19187675070028	1568.43999116705	11212	0.273170731707317	6.4
CD48	2.54321610347436e-05	2019.22698412698	585.49609375	6.66652625152625	317	6	3	0.159664183576095	2176	706	-0.0910277665596815	1913.11551799603	128251	0.134761267291388	17.6111111111111
DOK3	2.44724024810846e-05	2069.37579365079	621.7353515625	7.30766983016983	489	6	2	0.314253343630457	2469	1008	-0.809744667097608	1955.51653646281	220164	0.237463126843658	97.8
SH2D2A	2.30971649064163e-05	2013.19722222222	581.2119140625	8.21793347936986	319	5	2	0.314253343630457	2097	658	-0.70099802908713	1910.99226474743	154026	0.2504	63.8
PRELP	1.83865465088779e-05	1594.60003607504	305.37353515625	8.37829469412246	47	3	2	0	311	100	-0.567813765182186	1536.33754224686	7453	0.367521367521368	15.6666666666667
MRPS15	3.01749327319635e-05	1828.15317460317	449.716796875	8.460635642092	2640	40	59	0.0948802000702207	964	8702	0.170778802034547	1722.54051596083	340494	0.405053358443189	1655.59322033898
RPS5	3.20171980089244e-05	2339.94841269841	810.2705078125	8.35556839787717	4450	50	77	0.089110941881044	4000	14752	0.199331263526614	2166.93783845626	2529783	0.0757229437229437	2404.46001367054
RPL8	3.16457315553309e-05	2156.38531746032	680.197265625	5.32159090909091	3378	47	53	0.0831380525445594	2964	9618	-0.0177090073627986	2008.25065384887	1953365	0.143778123918311	2575.40041928721
HCK	3.13114147080317e-05	2184.81944444444	700.9052734375	5.32159090909091	957	18	25	0.0694274868037159	3129	3806	0.432511849820105	2041.73352497305	459910	0.0439361285266458	47.546511627907
TPX2	2.71155790815329e-05	2117.07103174603	655.4384765625	8.16058994890052	583	10	10	0.064138862685067	2770	1256	-0.523049539450369	1996.32659944489	252517	0.143969849246231	246.155555555556
LCP2	3.05187393342331e-05	2158.88888888889	683.8251953125	7.82993372249859	1130	19	27	0.0529134240915153	2930	3072	0.0825637154251721	2021.61184046679	528934	0.0778528261642375	281.108374384236
PSMB7	3.07542278177641e-05	1961.84642857143	542.66796875	5.93095238095238	1198	27	36	0.0604207435421492	1820	3656	0.0771098591161609	1853.94120525955	356698	0.222605363984674	874.730158730159
ERCC6L	3.00981232109435e-05	1973.64007936508	553.4150390625	7.55228174603175	884	21	23	0.0638404235815228	1898	2320	-0.111726526526463	1859.82731081435	310979	0.159784226190476	474.028985507246
NFAM1	1.61551569397802e-05	1824.3547979798	451.46142578125	7.56512112887113	127	2	1	0	1077	256	-0.935143288084465	1744.11258786335	59050	0.634020618556701	0
CXCR2	2.63210043736796e-05	1764.37579365079	412.8896484375	6.36129564879565	242	7	11	0.0547010257795201	806	640	0.18673439933875	1676.19823593616	49324	0.121260683760684	31.025641025641
JAK3	3.05656286002669e-05	2177.01150793651	696.5009765625	6.36129564879565	941	20	26	0.0736959175271623	3100	2638	0.0540120269582793	2043.86331426927	437087	0.0694444444444444	219.068783068783
CDKN3	2.42742986481581e-05	2012.21507936508	581.982421875	7.55393460028891	316	7	5	0	2242	674	-0.385795047701827	1903.24716127952	151268	0.187423687423687	75.2380952380952
SKA3	1.92826424794721e-05	1650.18694083694	340.29248046875	7.68509382531835	110	3	3	0	454	226	-0.838462952748667	1583.12281288309	36321	0.685897435897436	110
AURKB	3.1461152846534e-05	2199.24007936508	711.4384765625	7.94194419511803	1812	28	47	0.0709658246389109	3211	6074	0.263677438861397	2047.17697074506	709322	0.0685769980506823	650.840816326531
MS4A1	1.95209879363217e-05	1964.2126984127	547.4892578125	5.43151927437642	298	3	3	0	1818	602	-0.937357731430539	1865.68965064355	134925	0.453149001536098	198.666666666667
CDCA8	3.05187204133855e-05	1910.41948051948	510.09326171875	7.84708443182233	1093	25	29	0.0650231266220247	1489	2998	-0.0739962886370283	1796.49827689778	375227	0.173064411190631	829.172413793103
COL6A3	1.74193240401667e-05	1517.12265512266	260.655029296875	7.87382625899051	37	3	2	0	210	80	-0.392592592592593	1465.3010469854	3926	0.366666666666667	12.3333333333333
CCL5	2.66361619418519e-05	1782.21984126984	423.6201171875	7.0050667483995	140	7	3	0	921	390	0.104594980755971	1699.56163072413	28755	0.132530120481928	5.09090909090909
MCM3	3.0569563125077e-05	2161.18293650794	685.9072265625	7.33440962149898	985	21	26	0.0650258095827903	3060	2840	0.0989788844177934	2023.77191295366	437409	0.0713963963963964	405.32183908046
CDC25A	2.76521406301811e-05	2203.13412698413	718.224609375	7.34098933770539	694	11	7	0.0387870074129426	3379	1498	-0.536481494166612	2068.56616549565	337436	0.115934627170582	138.8
TOP2A	2.80847224908849e-05	2204.82301587302	719.517578125	7.47827664399093	717	12	10	0.0213796208950223	3417	1566	-0.575518367411428	2069.09343820552	339233	0.109501557632399	141.227272727273
CDC25C	2.76080668799982e-05	2114.59126984127	653.87890625	7.58313905329521	611	11	8	0.0620682809648148	2721	1354	-0.38650951364259	1989.05884412084	271598	0.116941823899371	120.348484848485
XRCC2	2.36592542704044e-05	1710.89289321789	377.04931640625	7.5622276113626	124	6	6	0.0501750035468149	569	278	-0.435701553348612	1640.19986721704	37041	0.333333333333333	115.733333333333
CHEK1	3.07763710859395e-05	2150.34722222222	677.8291015625	7.43074854374401	1012	21	24	0.0594604884373128	3022	3016	0.123065827037745	2015.3736255941	447494	0.0759819201995012	263.201612903226
SLA	2.78876137137742e-05	2015.11626984127	582.4228515625	7.40501858963502	391	11	9	0.0764779545510625	2155	914	-0.316610161927915	1908.42493450662	187975	0.133474576271186	118.484848484848
PSMD3	3.09953576182442e-05	2089.39166666667	632.95703125	7.93773005089125	1357	27	37	0.0697430793404117	2655	4274	0.13696028007151	1962.26971026004	415326	0.119890510948905	805.501282051282
PTPRB	2.21084291592926e-05	1756.83694083694	404.87939453125	7.70211231591152	47	5	1	1	708	114	-0.218253968253968	1689.45511848482	14390	0.2	0
PBK	2.30190707187609e-05	1940.15595238095	529.72265625	8.11712731712732	198	5	2	0	1667	416	-0.644018794535641	1848.4529603123	80601	0.23030303030303	19.8
FLI1	2.38102243886514e-05	1981.37222222222	559.4033203125	7.34748293165739	173	5	2	0.314253343630457	2057	376	-0.338534988689787	1883.12600251872	77726	0.170859538784067	11.5333333333333
RPS16	3.20832898488541e-05	2435.49246031746	880.1015625	8.14396564041008	4843	51	82	0.0834069349889174	4549	16328	0.215222011415118	2249.64146013144	2712539	0.0588853708009697	2363.89732008431
FOXM1	2.16492609277294e-05	1953.85	541.4375	5.55534756176958	310	4	4	0	1799	632	-0.8442351644215	1849.71659233699	135279	0.332608695652174	155
SLA2	1.93622477402602e-05	1875.64606782107	485.95849609375	4.65800865800866	143	3	2	0	1371	292	-0.861124382863513	1791.00561054025	71096	0.437106918238994	47.6666666666667
PLK1	3.2166861271989e-05	2358.95317460317	822.8486328125	5.66910034410034	2691	31	84	0.081951779946686	4027	14124	0.592890600004898	2170.66294838981	1086472	0.0339038496767946	320.752916952642
CDC45	3.03001022228748e-05	2089.36150793651	633.791015625	5.62894063536265	862	22	25	0.0601704885632204	2614	2374	-0.0351445320844284	1969.27441602551	372384	0.106695629951444	488.024615384615
RRM2	1.60415670367773e-05	1893.43452380952	498.60546875	6.18083839047142	134	2	1	0	1470	270	-0.895344363216622	1805.1160810725	59384	0.503875968992248	0
RACGAP1	2.79867853053319e-05	2140.57341269841	671.6181640625	6.45853731102748	437	8	3	0	2952	1114	0.249823975025886	2017.37712135198	197784	0.06640625	7.28333333333333
PRF1	2.80137102352787e-05	1963.8869047619	546.4248046875	4.81224489795918	243	11	9	0.0764779545510625	1858	642	-0.0672983946668157	1862.87600813061	63599	0.0982181660147762	24.9230769230769
FYB1	2.67923341422693e-05	1999.85003607504	571.93896484375	6.19815105529391	320	8	8	0.0620682809648148	2063	730	-0.189645210310845	1894.9324351364	156731	0.13568281938326	56.8888888888889
PSMB6	3.0899730872467e-05	2091.42976190476	635.5966796875	6.45386557886558	1393	28	36	0.0704908674658407	2629	4192	0.0770989103848392	1956.52654775842	424479	0.105030274802049	897.623044096728
PSMA5	3.08681900741779e-05	2072.47738095238	621.13671875	6.69041712255998	1355	28	38	0.0667051540616976	2575	4116	0.0767727062694587	1948.54236823154	414974	0.139749575551783	967.581792318634
EME1	2.35243325053451e-05	1841.02976190476	461.17578125	7.41068461741209	102	6	6	0.0501750035468149	1167	234	-0.355446132814554	1764.31236415575	38635	0.285714285714286	68
TIE1	9.9814934760758e-06	1540.89527417027	272.43603515625	6.39057727986299	12	1	1	0	185	24	-0.833333333333333	1493.37548950038	3478	1	NA
S100A9	2.49155215829448e-05	2006.8626984127	575.6845703125	7.01534498957693	238	6	5	0.068033073723357	2063	532	-0.10489802893895	1909.19440897789	92938	0.134478672985782	34
MMP2	2.95864357599843e-05	1859.29765512265	473.67919921875	4.79603174603175	268	10	13	0.0551790975027305	1116	1088	0.475222021130714	1760.7586997614	45948	0.0567738791423002	14.5652173913043
ZAP70	3.14399931435347e-05	2277.16626984127	767.3916015625	4.57037037037037	1417	20	44	0.0720267836118741	3622	5186	0.445577707448615	2119.41230883999	697857	0.0412705141403742	140.977040816327
CD79A	2.76686328497301e-05	2023.60555555556	588.5830078125	4.57037037037037	538	10	10	0.0213796208950223	2111	1208	-0.286785253566749	1911.50655991388	236852	0.144188596491228	195.636363636364
GINS2	2.63320135104358e-05	1854.32424242424	471.30517578125	7.08162061234261	254	9	9	0.0509853030340417	1290	580	-0.431520875987596	1769.3116612175	106740	0.367867867867868	254
RAD51AP1	1.9217977866029e-05	1699.31908369408	369.34619140625	6.74962480410966	90	3	3	0	530	186	-0.807977207977208	1633.22250007186	34126	0.644444444444444	90
NDUFA12	2.78069795391338e-05	1609.28658008658	312.4443359375	6.67891804948409	790	24	28	0.0651170937170234	250	2336	0.0188371218786693	1540.00173455837	48789	0.485969387755102	695.952380952381
ORC6	2.99945663533136e-05	2079.86150793651	628.275390625	7.44518765452022	835	20	23	0.0638404235815228	2625	2176	-0.111660333415153	1957.33530830176	379245	0.118074741893267	570.96837944664
EMC7	9.17175429902013e-06	1506.12702020202	253.63330078125	6.34455266955267	42	5	6	0.0501750035468149	157	114	0.0367327117327117	1456.3626204634	2555	0.6	30.8
COL6A2	1.71006664683468e-05	1510.08098845599	255.37158203125	6.48828828176654	21	3	2	0	146	48	-0.284848484848485	1462.73603459816	2390	0.377777777777778	7
PSME2	2.93704010427775e-05	2011.66547619048	580.1748046875	6.60438624413083	810	19	19	0.0805145132160418	2163	1962	-0.318654344279936	1898.41448665263	248956	0.174922600619195	677.368421052632
RPS10	3.20294712087544e-05	2307.79365079365	787.451171875	6.50623302279649	4334	50	75	0.0931146971853452	3829	14520	0.203736321618862	2133.09722952174	2443290	0.0796249859650436	2251.42857142857
IL2RG	2.85445229105876e-05	2100.20912698413	642.2900390625	6.35432306628127	464	9	14	0.0975115741514923	2664	1168	0.116852917225405	1983.08882141486	234105	0.0825296735905044	81.2
MYH11	2.80532079717182e-05	1978.19841269841	555.4345703125	6.12108589176835	307	10	13	0.0551790975027305	1864	796	0.00775338686598853	1878.51904258133	112520	0.106959706959707	111.32967032967
RPS27A	3.26141495159436e-05	2762.86626984127	1109.6171875	6.31730709377768	7907	55	176	0.0773540579909397	5659	52870	0.681009929964799	2499.07393235695	4121791	0.020357748348925	792.492389896373
WAS	3.06414609549635e-05	2294.48888888889	782.1845703125	6.08889065160771	1112	16	19	0.0878340144175001	3845	3036	0.135358716101618	2145.74389184698	513097	0.053336641032002	73.9507389162562
FASLG	2.91767698414748e-05	2237.00198412698	741.7353515625	6.57511659033398	738	12	11	0.0364673505196801	3593	1748	-0.089011103887217	2100.76323572907	325623	0.0752393980848153	92.25
LAX1	2.16108296120621e-05	1887.39047619048	493.8662109375	6.90094537951796	233	4	4	0	1348	478	-0.827835719091906	1798.88701047899	106162	0.369354838709677	116.5
CDC6	3.01776126521967e-05	2170.51150793651	693.2978515625	6.63227993969009	1022	22	24	0.0644155291404222	3208	2596	-0.182362822352167	2036.82991002617	466481	0.0960354118552733	644.304347826087
CCNB1	3.09566771759496e-05	2274.11031746032	767.44921875	6.81103394799215	1294	20	31	0.067864908210304	3677	3710	0.169982947469458	2118.54308191343	624912	0.0531186612576065	182.221033868093
ECT2	2.27376092733175e-05	1950.93095238095	538.8046875	7.08974466421476	239	5	4	0	1804	498	-0.513472351403386	1850.68051981891	99750	0.24020618556701	71.7
LY9	1.3657441911882e-05	1637.9417027417	330.46533203125	6.90876780454983	17	2	1	0	403	36	-0.512820512820513	1580.87649890104	5577	0.65	0
MCM7	3.15129835706223e-05	2374.39126984127	839.4033203125	6.83116879783249	1852	26	46	0.090279299561752	4313	6056	0.266386904882778	2204.17564684433	853548	0.0422237860661506	366.93537414966
