gene	spl	degree	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	triangles	pagerank	load_centrality	harmonic_centrality
38	ACAD9	4.86097589932328	3	0.000356	22	7725.683551	5e-06	0.333333	1	5.2e-05	14773.97347	1689.612698
39	ACADM	4.46420515255847	2	0.000237	12.5	47.233916	4.3e-05	0	0	4.7e-05	191.820623	1844.02381
40	ACADVL	4.13629348213226	1	0.000119	56	0	5.1e-05	0	0	2.8e-05	0	1994.475
41	ACAN	5.46598599073964	1	0.000119	8	0	0	0	0	3.4e-05	0	1492.494048
42	ACAP1	3.82227234951917	4	0.000475	54.5	3803.528639	0.000238	0	0	6.7e-05	7907.884521	2184.472619
43	ACAP3	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1
44	ACAT1	4.02766235308085	1	0.000119	132	0	0.000293	0	0	2.8e-05	0	2062.72381
45	ACAT2	3.68704737029562	4	0.000475	73.75	1145.831193	0.00056	0.333333	2	5.8e-05	2134.002867	2264.497619
46	ACBD3	4.81633622224861	1	0.000119	11	0	5e-06	0	0	2.9e-05	0	1700.338492
47	ACE2	5.49602279472872	2	0.000237	5	154.257096	0	0	0	6.3e-05	525.443484	1484.189286
48	ACHE	5.46646088092129	1	0.000119	2	0	0	0	0	5e-05	0	1489.897222
49	ACIN1	3.80814436661522	6	0.000712	34	11663.059595	0.000164	0	0	9.8e-05	24932.065609	2189.221429
50	ACKR1	5.00225572836282	8	0.00095	5.375	8600.077162	3e-06	0.035714	1	0.000148	17398.209747	1641.049603
51	ACKR2	5.2348331948237	3	0.000356	3	16383	1e-06	0	0	0.000131	32766	1559.704365
52	ACKR4	4.61617001068503	3	0.000356	8.666667	1163.03541	1.4e-05	0	0	6.1e-05	3090.977957	1780.861111
53	ACLY	3.69049032411255	5	0.000594	58.2	3999.02961	0.001051	0.2	2	7.1e-05	8937.987994	2264.439286
54	ACOT13	3.84126795678499	2	0.000237	120	183.844808	0.000444	0	0	3.9e-05	257.348308	2171.395238
55	ACOT7	4.11456725632198	1	0.000119	97	0	7.2e-05	0	0	3.2e-05	0	2012.183333
56	ACOX1	4.64786893030987	2	0.000237	6.5	6952.793463	5e-05	0	0	6.6e-05	13429.197487	1768.085714
57	ACOX3	4.37195773477383	1	0.000119	35	0	3.9e-05	0	0	3e-05	0	1885.961905
58	ACP1	3.37077050931972	12	0.001425	68.333333	30690.936375	0.001071	0.121212	8	0.000139	62751.273919	2497.6
59	ACP5	3.803751632435	8	0.00095	22.25	13034.382938	0.000405	0	0	0.000114	26945.244253	2188.990476
60	ACP6	4.21512525228541	6	0.000712	6.166667	14605.178716	4.4e-05	0	0	0.000118	30178.601725	1955.663095
61	ACPP	4.58126558233409	1	0.000119	19	0	4.4e-05	0	0	3.6e-05	0	1790.210714
62	ACSL6	5.17523447702719	1	0.000119	5	0	1e-06	0	0	3.7e-05	0	1575.174603
63	ACTA1	3.63492817286003	23	0.002731	13.565217	49563.705009	0.000392	0	0	0.000328	105581.322345	2305.085714
64	ACTA2	3.52748426926273	21	0.002493	24.47619	41861.552639	0.000682	0.147619	31	0.000287	88684.776988	2380.752381
65	ACTC1	3.95488543274368	7	0.000831	20.571429	16002.678943	0.000154	0.047619	1	0.00012	31092.605353	2100.895238
66	ACTG2	4.00866674581503	9	0.001069	18.555556	446.922217	0.000269	0.527778	19	0.000119	1138.103734	2067.302381
67	ACTL6A	3.51383117654043	36	0.004275	22.777778	48386.820816	0.000868	0.14127	89	0.00039	100679.817592	2403.542857
68	ACTL6B	3.97851121928054	4	0.000475	25.25	42.89815	0.000164	0.333333	2	5.3e-05	110.365168	2081.895238
69	ACTN2	4.09545292651074	3	0.000356	20.666667	469.399192	5.3e-05	0	0	5.5e-05	1282.210824	2019.021429
70	ACTR1A	3.57889113142586	15	0.001781	35.8	10040.558777	0.000798	0.228571	24	0.000172	20170.316971	2347.407143
71	ACTR2	3.30262376825359	42	0.004987	41.452381	43134.85824	0.00935	0.196283	169	0.000405	79028.945288	2570.516667
72	ACTR3	3.31188412679568	29	0.003443	42.689655	30505.723445	0.004896	0.133005	54	3e-04	58967.490629	2553.521429
73	ACTR3B	3.90490324112549	7	0.000831	22.571429	730.00723	0.000465	0.285714	6	8.9e-05	2266.09425	2130.254762
74	ACTR5	3.94087617238514	10	0.001187	20.1	839.486972	0.000169	0.622222	28	0.00012	2277.532996	2108.447619
75	ACTR6	3.8882820847679	6	0.000712	38.166667	740.729798	0.001286	0.333333	5	6.9e-05	1792.528359	2144.945238
76	ACTR8	3.79829039534608	15	0.001781	22.666667	5188.530928	0.000286	0.409524	43	0.00017	12048.280756	2199.928571
77	ACVR1	4.05734298943369	7	0.000831	13.285714	9982.632634	8.4e-05	0.095238	2	0.000116	20210.636196	2044.403571
78	ACVR1B	3.86560607859432	9	0.001069	18.444444	13253.226485	0.00032	0.138889	5	0.000145	27178.624541	2154.745238
79	ACVR2A	4.43915469547667	3	0.000356	13	329.365002	3.2e-05	0.333333	1	6.1e-05	1111.850588	1858.657143
80	ACVR2B	3.83996200878547	15	0.001781	19.066667	24310.597032	0.000302	0.114286	12	0.000241	50264.712269	2176.07619
81	ACVRL1	3.86441885314021	11	0.001306	24.272727	8132.872939	0.000331	0.218182	12	0.000163	16545.735932	2159.520238
82	ACY1	4.61070877359611	1	0.000119	8	0	6e-06	0	0	3e-05	0	1780.306746
83	ADA	4.64181408049389	4	0.000475	9.5	107.613864	5e-06	0.166667	1	6.3e-05	380.952516	1773.811111
84	ADAM10	4.1868692864775	6	0.000712	10.666667	1128.487759	4.1e-05	0.066667	1	9.6e-05	3071.081233	1975.496429
85	ADAM12	3.88578891131426	4	0.000475	41	3435.371029	9.7e-05	0	0	7.3e-05	8389.94032	2137.85
86	ADAM15	3.62649887213582	8	0.00095	54.25	9105.332501	0.001031	0	0	0.000107	19028.843391	2310.69881
87	ADAM17	3.81776089279354	9	0.001069	19.555556	7118.911266	0.000327	0.027778	1	0.000127	16920.075581	2183.388095
88	ADAM19	4.84851003205509	2	0.000237	2.5	8192	4e-06	0	0	8.4e-05	16384	1684.025397
89	ADAM2	4.84945981241838	2	0.000237	8	8192	2e-06	0	0	7.5e-05	16384	1688.22619
90	ADAM23	4.31473346788555	1	0.000119	75	0	2e-05	0	0	3e-05	0	1914.414286
91	ADAM33	4.18437611302386	1	0.000119	83	0	6.8e-05	0	0	3.3e-05	0	1975.613095
92	ADAM9	3.99358898254779	9	0.001069	17.777778	4040.370776	7.8e-05	0.027778	1	0.000121	9504.534102	2081.270238
93	ADAMTS1	4.68835331829514	3	0.000356	12.666667	416.679661	3e-06	0	0	6.5e-05	1036.407989	1755.674206
94	ADAMTS4	4.72634453282678	3	0.000356	7.666667	109.008294	5e-06	0	0	7.2e-05	406.632087	1735.5
95	ADAP1	3.78250029680636	7	0.000831	19.142857	1703.181221	0.000279	0.047619	1	8.8e-05	4398.801624	2195.322619
96	ADAR	4.74118485100321	1	0.000119	4	0	7e-06	0	0	3.6e-05	0	1725.47381
97	ADCK1	4.43856108274961	1	0.000119	56	0	1.1e-05	0	0	2.7e-05	0	1856.784524
98	ADCY1	4.32886145078951	5	0.000594	33.8	1897.349886	3e-05	0	0	7.3e-05	4054.514943	1914.066667
99	ADCY10	4.98919624836757	1	0.000119	10	0	1e-06	0	0	2.8e-05	0	1644.190873
100	ADCY10P1	4.81075626261427	1	0.000119	10	0	9e-06	0	0	2.9e-05	0	1704.838889
101	ADCY3	4.29075151371245	5	0.000594	31.8	2552.015294	2e-05	0	0	8.3e-05	5486.57524	1930.907143
102	ADCY4	4.25086073845423	4	0.000475	53.75	59.351404	3.4e-05	0	0	5.5e-05	90.545819	1949.989286
103	ADCY5	4.26000237445091	4	0.000475	31	305.024139	2.2e-05	0.166667	1	6e-05	680.019927	1946.585714
104	ADCY6	3.74260952154814	8	0.00095	74	17564.753848	0.000191	0.321429	9	9.2e-05	34524.184109	2238.130952
105	ADCY7	4.07111480470141	4	0.000475	52	440.798602	3.8e-05	0.166667	1	5.7e-05	834.072587	2043.602381
106	ADCY8	4.0740828683367	5	0.000594	44	5551.782254	4.2e-05	0.1	1	7.5e-05	10988.742431	2039.129762
107	ADCYAP1	4.87759705568087	1	0.000119	4	0	3e-06	0	0	4e-05	0	1675.379365
108	ADD1	3.83260121096996	4	0.000475	42.5	1980.016432	0.000179	0	0	6.5e-05	4345.874156	2169.383333
109	ADD2	4.25192924136293	1	0.000119	55	0	1.9e-05	0	0	2.8e-05	0	1941.304762
110	ADD3	4.14780956903716	1	0.000119	62	0	3.8e-05	0	0	2.9e-05	0	1991.207143
111	ADGRA2	4.40876172385136	2	0.000237	21	17.649293	1.1e-05	0	0	4.2e-05	34.498662	1867.036905
112	ADGRA3	4.51620562744865	1	0.000119	24	0	8e-06	0	0	3e-05	0	1820.42619
113	ADGRB1	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1
114	ADGRB2	5.15065891012703	1	0.000119	6	0	1e-06	0	0	3.3e-05	0	1582.853175
115	ADGRE5	4.92425501602754	1	0.000119	2	0	1e-06	0	0	4.7e-05	0	1659.49127
116	ADGRL1	4.51003205508726	2	0.000237	23.5	8192	8e-06	0	0	7.4e-05	16384	1823.359127
117	ADH5	4.20764573192449	1	0.000119	59	0	4e-05	0	0	2.8e-05	0	1963.078571
118	ADI1	4.58364003324231	2	0.000237	10	115.220468	1.6e-05	0	0	4.8e-05	300.741061	1789.26627
119	ADIPOQ	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1
120	ADIPOR1	4.57046183070165	2	0.000237	6.5	8192	7e-06	0	0	7.1e-05	16384	1795.832937
121	ADIPOR2	5.54303692271162	1	0.000119	2	0	0	0	0	4.8e-05	0	1466.448413
122	ADM	5.03585420871423	1	0.000119	5	0	2e-06	0	0	3.5e-05	0	1623.228571
123	ADORA1	4.12014721595631	14	0.001662	39.071429	5616.179843	6.1e-05	0.197802	18	0.000166	12384.953839	2030.280952
124	ADORA2B	4.03775376944082	11	0.001306	65.909091	5625.330667	9.3e-05	0.327273	18	0.000115	10910.327587	2067.832143
125	ADPGK	4.04000949780363	2	0.000237	54	407.573528	9.6e-05	0	0	4.2e-05	952.605253	2053.255952
126	ADRA1A	3.95346076219874	14	0.001662	36.214286	9841.133018	7.4e-05	0.142857	13	0.000164	21255.370601	2115.208333
127	ADRA1B	4.09462186869286	3	0.000356	46	588.782636	3.9e-05	0	0	4.7e-05	1556.058886	2027.295238
128	ADRA1D	4.37528196604535	6	0.000712	55.166667	554.371723	2.9e-05	0.2	3	7.2e-05	1291.741235	1898.374603
129	ADRA2A	3.78404368989671	17	0.002019	61.705882	15245.650605	0.00023	0.301471	41	0.00017	29727.647347	2222.227381
130	ADRA2B	4.321500652974	3	0.000356	52.666667	462.051236	3.5e-05	0.333333	1	4.6e-05	1164.028441	1919.792857
131	ADRA2C	4.29846847916419	6	0.000712	47.666667	87.024782	3e-05	0.4	6	7.3e-05	172.726971	1934.530952
132	ADRB1	4.14591000831058	4	0.000475	43.75	3433.879146	3e-05	0	0	6.6e-05	7767.614793	2008.186905
133	ADRB2	3.6763623412086	18	0.002137	39.777778	43023.774447	0.000212	0.091503	14	0.000216	90056.601979	2289.442857
134	ADRB3	4.77965095571649	1	0.000119	58	0	4e-06	0	0	2.6e-05	0	1723.288889
135	ADRM1	3.75851834263327	30	0.003562	37.433333	202.107188	0.001177	0.85977	374	0.000207	381.294444	2224.25
136	AEBP1	4.38561082749614	1	0.000119	30	0	1.8e-05	0	0	3.1e-05	0	1879.278571
137	AEBP2	4.94241956547548	1	0.000119	14	0	4e-06	0	0	3e-05	0	1660.997222
138	AES	3.45755669001543	16	0.0019	40.0625	27690.848294	0.001	0.1	12	0.00021	56442.51551	2431.992857
139	AFAP1	3.73228066009735	6	0.000712	55.666667	2632.050603	0.000198	0.066667	1	8.5e-05	5280.19535	2239.959524
140	AFAP1L2	4.38382998931497	1	0.000119	26	0	2.9e-05	0	0	2.8e-05	0	1878.17381
141	AFDN	3.50362103763505	27	0.003206	24.444444	73599.277284	0.000819	0.025641	9	0.000373	145609.471352	2400.797619
142	AFF1	3.91986228184732	9	0.001069	24.333333	2621.173462	0.000326	0.222222	8	0.000103	6058.704987	2125.515476
143	AFF4	3.86726819423008	5	0.000594	34.8	3489.094198	0.000342	0	0	6.9e-05	7570.116318	2152.519048
144	AFM	4.54481776089279	2	0.000237	11.5	29.206397	2.1e-05	0	0	4.1e-05	83.009005	1815.05119
145	AFTPH	4.29193873916657	5	0.000594	12	185.346704	0.000193	0	0	7.4e-05	433.255662	1924.34881
146	AGAP1	4.8882820847679	1	0.000119	4	0	5e-06	0	0	3.6e-05	0	1669.735317
147	AGAP2	3.82535913569987	3	0.000356	86	8211.193695	0.000159	0	0	7e-05	16408.02982	2176.488095
148	AGER	4.19399263920218	5	0.000594	12	3568.076085	3.4e-05	0	0	1e-04	9121.465628	1970.242857
149	AGFG1	3.74759586845542	15	0.001781	31.4	3426.905742	0.001213	0.428571	45	0.000153	7593.197678	2227.491667
150	AGFG2	4.21975543155645	2	0.000237	25	18.511344	0.000111	0	0	3.9e-05	77.373313	1955.47381
151	AGGF1	4.54932921761843	2	0.000237	23.5	573.526726	8e-06	0	0	5.5e-05	1925.78788	1809.888095
152	AGK	4.24765522972813	2	0.000237	29.5	56.047693	3.1e-05	0	0	3.8e-05	152.922314	1945.482143
153	AGL	3.9614151727413	1	0.000119	109	0	0.000134	0	0	2.8e-05	0	2093.117857
154	AGO1	4.73667339427757	3	0.000356	5.666667	8192	1.1e-05	0.333333	1	8.3e-05	16384	1731.389286
155	AGO2	4.29633147334679	6	0.000712	11.5	11275.193734	8.6e-05	0.133333	2	0.000114	24228.907187	1926.828571
156	AGO3	5.24385610827496	1	0.000119	8	0	2e-06	0	0	4.7e-05	0	1557.546032
157	AGPAT4	4.0396533301674	1	0.000119	105	0	8.7e-05	0	0	2.8e-05	0	2050.94881
158	AGPS	5.88460168586014	1	0.000119	2	0	0	0	0	5.5e-05	0	1380.527778
159	AGRN	4.17143535557402	2	0.000237	30	375.718027	3.4e-05	0	0	4.4e-05	904.133412	1980.694048
160	AGRP	5.12347144722783	3	0.000356	5.666667	30.001716	2e-06	0	0	6.1e-05	188.169241	1601.938889
161	AGT	3.9614151727413	9	0.001069	18.777778	45300.407429	0.000114	0.027778	1	0.000198	93333.265255	2101.872619
162	AGTPBP1	4.2087142348332	5	0.000594	7.8	8953.391106	3.8e-05	0	0	0.00011	18584.125871	1960.296429
163	AGTR1	3.48711860382287	23	0.002731	58.869565	85513.407095	0.000573	0.245059	62	0.000234	166204.21336	2417.411905
164	AGXT	3.99430131782025	5	0.000594	20.8	8307.818279	0.000144	0	0	9.5e-05	19525.729628	2075.115476
165	AHCTF1	4.10637540068859	8	0.00095	22.125	312.186208	0.000161	0.321429	9	8.5e-05	904.090041	2022.465476
166	AHCY	4.00225572836282	2	0.000237	78.5	158.792937	0.000704	0	0	3.7e-05	317.586707	2078.633333
167	AHCYL1	4.71720289683011	2	0.000237	6.5	8192	5e-06	0	0	7.9e-05	16384	1738.320635
168	AHCYL2	5.68977798884008	1	0.000119	2	0	0	0	0	5.2e-05	0	1427.923413
169	AHI1	5.4728718983735	3	0.000356	7	155.901814	0	0.333333	1	7.4e-05	419.199624	1491.537302
170	AHR	3.55087261070877	11	0.001306	56.909091	5788.137355	0.000681	0.163636	9	0.000118	10653.342367	2372.602381
171	AHRR	4.56998694052001	1	0.000119	11	0	1.1e-05	0	0	3e-05	0	1796.632143
172	AHSA1	3.77442716371839	6	0.000712	30.666667	1385.274388	0.000388	0.066667	1	7.4e-05	3080.069735	2201.792857
173	AHSA2P	4.18307016502434	1	0.000119	39	0	6.4e-05	0	0	2.7e-05	0	1968.330952
174	AHSG	3.80173334916301	4	0.000475	52	2144.278684	0.000147	0	0	7e-05	5113.740363	2191.111905
175	AIF1	4.61949424195655	1	0.000119	13	0	9e-06	0	0	3.2e-05	0	1774.147222
176	AIFM1	3.45945625074202	17	0.002019	40.117647	38584.975523	0.002239	0.022059	3	0.000201	80454.118056	2434.37381
177	AIMP1	3.71375994301318	10	0.001187	27.8	3077.20003	0.00058	0.333333	15	0.000122	7467.14678	2247.753571
178	AIP	3.84542324587439	4	0.000475	35	1984.906705	0.000144	0	0	6.6e-05	4588.096884	2158.389286
179	AJUBA	4.42027781075626	1	0.000119	19	0	2.7e-05	0	0	2.9e-05	0	1858.329762
180	AK1	4.26760061735724	2	0.000237	17	151.742928	2.3e-05	0	0	4.2e-05	434.034487	1928.87381
181	AKAP1	4.08856701887688	6	0.000712	11.833333	2633.689282	7.1e-05	0.2	3	0.000105	6233.488837	2023.62619
182	AKAP10	4.07990027306185	4	0.000475	21.5	1039.4183	6e-05	0.333333	2	7e-05	2374.919159	2026.790476
183	AKAP11	4.45114567256322	1	0.000119	25	0	1.4e-05	0	0	3.2e-05	0	1846.445238
184	AKAP12	4.64893743321857	1	0.000119	18	0	4e-06	0	0	2.8e-05	0	1769.922619
185	AKAP13	3.62186869286477	5	0.000594	72.6	4375.131541	0.000246	0.1	1	6.5e-05	9584.302371	2310.519048
186	AKAP17A	4.891487593494	1	0.000119	32	0	1e-06	0	0	3.7e-05	0	1677.119841
187	AKAP3	4.52392259290039	3	0.000356	8	16383	7e-06	0	0	0.000119	32766	1819.612698
188	AKAP4	4.62281847322807	1	0.000119	16	0	9e-06	0	0	3e-05	0	1773.559127
189	AKAP5	3.92864775020776	5	0.000594	32	3200.560328	6.9e-05	0	0	7.6e-05	7434.129741	2117.17381
190	AKAP6	3.82702125133563	5	0.000594	48.4	8823.150617	0.000183	0.2	2	9.4e-05	17719.44253	2181.186905
191	AKAP7	4.45114567256322	1	0.000119	25	0	1.4e-05	0	0	3.2e-05	0	1846.445238
192	AKAP8	3.65843523685148	7	0.000831	44.571429	1692.002535	0.001015	0.047619	1	8.3e-05	3654.282621	2284.811905
193	AKAP8L	3.65748545648819	8	0.00095	42.625	2562.443351	0.001424	0.071429	2	9.6e-05	5865.714337	2288.992857
194	AKAP9	3.52997744271637	17	0.002019	24.705882	32697.258334	0.001118	0.014706	2	0.000216	68598.804788	2374.904762
195	AKIRIN2	4.40235070639915	2	0.000237	27	637.948492	1.1e-05	0	0	4.9e-05	1504.116648	1871.614286
196	AKR1A1	4.74059123827615	1	0.000119	20	0	5.9e-05	0	0	2.9e-05	0	1735.905556
197	AKR1B1	3.03158019707943	73	0.008668	35.616438	279483.479745	0.003508	0.047184	124	0.000827	531891.060651	2823.2
198	AKR1C1	4.89516799240176	1	0.000119	14	0	2e-06	0	0	3.4e-05	0	1669.753571
199	AKR7A2	4.76255490917725	1	0.000119	36	0	2e-06	0	0	3.2e-05	0	1723.659524
200	AKT1	3.25727175590645	43	0.005106	24.976744	88740.003614	0.001312	0.0299	27	0.000533	179745.104209	2592.335714
201	AKT2	3.6064347619613	13	0.001544	25.769231	22243.178026	0.00049	0.051282	4	0.000174	44722.40142	2319.419048
202	AKT3	3.93054731093435	6	0.000712	21.333333	5491.850951	0.000103	0	0	9.5e-05	12225.271833	2111.4
203	AKTIP	3.84625430369227	9	0.001069	24.666667	13079.465179	0.000225	0.055556	2	0.000135	27898.425552	2168.971429
204	ALAS1	4.38406743440579	1	0.000119	16	0	9e-05	0	0	2.8e-05	0	1878.479762
205	ALB	3.41172978748664	62	0.007362	11.322581	382829.069671	0.002621	0.004759	9	0.001217	782225.369633	2491.57381
206	ALCAM	5.45352012347145	1	0.000119	3	0	0	0	0	3.8e-05	0	1493.984921
207	ALDH2	4.35355574023507	1	0.000119	40	0	2.9e-05	0	0	2.8e-05	0	1892.853571
208	ALDH3A2	4.44414104238395	1	0.000119	37	0	4.8e-05	0	0	3.2e-05	0	1854.886905
209	ALDH5A1	5.01199097708655	1	0.000119	2	0	2e-06	0	0	4.7e-05	0	1629.752381
210	ALDOA	3.95274842692627	5	0.000594	27.4	22565.771493	0.000161	0	0	9e-05	48229.130511	2102.179762
211	ALDOB	5.3778938620444	1	0.000119	16	0	0	0	0	2.9e-05	0	1516.561508
212	ALDOC	4.50397720527128	1	0.000119	11	0	7e-06	0	0	2.9e-05	0	1827.792857
213	ALG13	4.46183070165024	2	0.000237	26	0	1.3e-05	1	1	4.7e-05	0	1847.406746
214	ALG2	4.80125845898136	3	0.000356	4.333333	527.442704	3e-06	0	0	7.3e-05	1842.522265	1706.434524
215	ALOX5	4.4561320194705	3	0.000356	4.666667	8253.646367	2.5e-05	0	0	8.1e-05	16603.068711	1847.897619
216	ALOX5AP	5.42870711148047	1	0.000119	3	0	0	0	0	4e-05	0	1500.112302
217	ALPI	4.50742015908821	1	0.000119	43	0	0.001092	0	0	2.3e-05	0	1828.804762
218	ALS2	3.9906209189125	1	0.000119	126	0	0.000119	0	0	2.9e-05	0	2080.1
219	ALS2CL	4.50575804345245	1	0.000119	28	0	2e-05	0	0	2.8e-05	0	1825.54246
220	ALS2CR12	3.9248486287546	1	0.000119	154	0	8.4e-05	0	0	2.8e-05	0	2115.519048
221	ALX1	3.85444615932566	2	0.000237	99.5	99.816414	0.000323	0	0	3.9e-05	265.762656	2166.128571
222	ALX4	4.42360204202778	2	0.000237	14	208.411484	1.7e-05	0	0	4.6e-05	596.906322	1864.683333
223	ALYREF	3.41149234239582	47	0.005581	49.191489	31115.283742	0.017507	0.243293	263	0.000322	60352.263178	2483.37381
224	AMBP	4.09295975305711	4	0.000475	28.25	2030.753102	4.4e-05	0	0	7.2e-05	4244.794305	2027.127381
225	AMBRA1	4.18437611302386	1	0.000119	81	0	0.000107	0	0	2.9e-05	0	1976.40119
226	AMFR	3.95167992401757	13	0.001544	18.384615	1298.096333	0.000914	0.24359	19	0.000151	3370.904665	2106.077381
227	AMH	4.46622343583046	4	0.000475	8.5	836.522844	1.4e-05	0.166667	1	7.9e-05	2271.511083	1845.095238
228	AMHR2	3.9969132138193	2	0.000237	61.5	2279.360934	0.000164	0	0	4.6e-05	4904.589352	2075.870238
229	AMOT	4.68146741066128	1	0.000119	12	0	6e-06	0	0	3.2e-05	0	1750.565476
230	AMOTL1	4.57651668051763	1	0.000119	10	0	1.4e-05	0	0	3.2e-05	0	1795.380952
231	AMOTL2	4.71435355574024	1	0.000119	72	0	6e-06	0	0	2.6e-05	0	1749.374603
232	AMPH	3.74462780482014	14	0.001662	27.785714	14625.057184	0.000931	0.252747	23	0.000162	28320.833588	2231.047619
233	AMT	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1
234	ANAPC10	3.82322212988246	15	0.001781	41.533333	1394.651001	0.002069	0.180952	19	0.000134	2744.009287	2193.194048
235	ANAPC11	3.63647156595037	22	0.002612	42.181818	6215.688621	0.002679	0.203463	47	0.000195	13062.777127	2313.257143
236	ANAPC13	4.06826546361154	11	0.001306	18.545455	493.833492	0.000945	0.436364	24	0.000109	1546.735661	2039.619048
237	ANAPC15	3.57271755906447	13	0.001544	70.846154	5589.293717	0.007218	0.410256	32	0.000123	10174.016512	2353.511905
238	ANAPC16	4.4550635165618	3	0.000356	15.333333	0.404762	0.000197	0.333333	1	4.2e-05	0.819444	1851.403571
239	ANAPC2	3.56595037397602	20	0.002375	37.1	12810.014165	0.002155	0.205263	39	0.000193	27004.688897	2359.564286
240	ANAPC4	3.73607978155052	14	0.001662	30.928571	1519.691228	0.001245	0.395604	36	0.000136	3215.430061	2235.67619
241	ANAPC5	3.45755669001543	32	0.0038	51.03125	7813.901391	0.009231	0.199597	99	0.000267	15451.957922	2448.142857
