gseNO	Tissue.Type	if_health
127	GSM363084	Tumor	0
128	GSM363085	Tumor	0
129	GSM363086	Tumor	0
130	GSM363087	Tumor	0
131	GSM363088	Non-Tumor	1
132	GSM363089	Non-Tumor	1
133	GSM363090	Non-Tumor	1
134	GSM363091	Non-Tumor	1
135	GSM363092	Non-Tumor	1
136	GSM363093	Non-Tumor	1
137	GSM363094	Non-Tumor	1
138	GSM363095	Non-Tumor	1
139	GSM363096	Non-Tumor	1
140	GSM363097	Non-Tumor	1
141	GSM363098	Tumor	0
142	GSM363099	Tumor	0
143	GSM363100	Tumor	0
144	GSM363101	Tumor	0
145	GSM363102	Tumor	0
146	GSM363103	Non-Tumor	1
147	GSM363104	Tumor	0
148	GSM363105	Tumor	0
149	GSM363106	Tumor	0
150	GSM363107	Tumor	0
151	GSM363108	Tumor	0
152	GSM363109	Tumor	0
153	GSM363110	Non-Tumor	1
154	GSM363111	Non-Tumor	1
155	GSM363112	Non-Tumor	1
156	GSM363113	Non-Tumor	1
157	GSM363114	Non-Tumor	1
158	GSM363115	Tumor	0
159	GSM363116	Non-Tumor	1
160	GSM363117	Non-Tumor	1
161	GSM363118	Non-Tumor	1
162	GSM363119	Non-Tumor	1
163	GSM363120	Non-Tumor	1
164	GSM363121	Tumor	0
165	GSM363122	Tumor	0
166	GSM363123	Tumor	0
167	GSM363124	Tumor	0
168	GSM363125	Tumor	0
169	GSM363126	Tumor	0
170	GSM363127	Tumor	0
171	GSM363128	Tumor	0
172	GSM363129	Tumor	0
173	GSM363130	Tumor	0
174	GSM363131	Non-Tumor	1
175	GSM363132	Non-Tumor	1
176	GSM363133	Non-Tumor	1
177	GSM363134	Non-Tumor	1
178	GSM363135	Non-Tumor	1
179	GSM363136	Non-Tumor	1
180	GSM363137	Non-Tumor	1
181	GSM363138	Non-Tumor	1
182	GSM363139	Non-Tumor	1
183	GSM363140	Non-Tumor	1
184	GSM363141	Non-Tumor	1
185	GSM363142	Tumor	0
186	GSM363143	Tumor	0
187	GSM363144	Tumor	0
188	GSM363145	Tumor	0
189	GSM363146	Tumor	0
190	GSM363147	Tumor	0
191	GSM363148	Tumor	0
192	GSM363149	Tumor	0
193	GSM363150	Tumor	0
194	GSM363151	Tumor	0
195	GSM363152	Tumor	0
196	GSM363153	Non-Tumor	1
197	GSM363154	Non-Tumor	1
198	GSM363155	Non-Tumor	1
199	GSM363156	Non-Tumor	1
200	GSM363157	Non-Tumor	1
201	GSM363158	Non-Tumor	1
202	GSM363159	Non-Tumor	1
203	GSM363160	Non-Tumor	1
204	GSM363161	Non-Tumor	1
205	GSM363162	Non-Tumor	1
206	GSM363163	Non-Tumor	1
207	GSM363164	Tumor	0
208	GSM363165	Non-Tumor	1
209	GSM363166	Tumor	0
210	GSM363167	Non-Tumor	1
211	GSM363168	Tumor	0
212	GSM363169	Tumor	0
213	GSM363170	Tumor	0
214	GSM363171	Non-Tumor	1
215	GSM363172	Tumor	0
216	GSM363173	Non-Tumor	1
217	GSM363174	Tumor	0
218	GSM363175	Non-Tumor	1
219	GSM363176	Tumor	0
220	GSM363177	Non-Tumor	1
221	GSM363178	Tumor	0
222	GSM363179	Non-Tumor	1
223	GSM363180	Tumor	0
224	GSM363181	Non-Tumor	1
225	GSM363182	Tumor	0
226	GSM363183	Non-Tumor	1
227	GSM363184	Tumor	0
228	GSM363185	Non-Tumor	1
229	GSM363186	Tumor	0
230	GSM363187	Non-Tumor	1
231	GSM363188	Tumor	0
232	GSM363189	Non-Tumor	1
233	GSM363190	Tumor	0
234	GSM363191	Non-Tumor	1
235	GSM363192	Tumor	0
236	GSM363193	Non-Tumor	1
237	GSM363194	Tumor	0
238	GSM363195	Non-Tumor	1
239	GSM363196	Tumor	0
240	GSM363197	Non-Tumor	1
241	GSM363198	Tumor	0
242	GSM363199	Non-Tumor	1
243	GSM363200	Tumor	0
244	GSM363201	Non-Tumor	1
245	GSM363202	Tumor	0
246	GSM363203	Non-Tumor	1
247	GSM363204	Tumor	0
248	GSM363205	Tumor	0
249	GSM363206	Non-Tumor	1
250	GSM363207	Tumor	0
251	GSM363208	Non-Tumor	1
252	GSM363209	Tumor	0
253	GSM363210	Non-Tumor	1
254	GSM363211	Tumor	0
255	GSM363212	Non-Tumor	1
256	GSM363213	Tumor	0
257	GSM363214	Non-Tumor	1
258	GSM363215	Tumor	0
259	GSM363216	Non-Tumor	1
260	GSM363217	Tumor	0
261	GSM363218	Tumor	0
262	GSM363219	Non-Tumor	1
263	GSM363220	Tumor	0
264	GSM363221	Non-Tumor	1
265	GSM363222	Tumor	0
266	GSM363223	Non-Tumor	1
267	GSM363224	Tumor	0
268	GSM363225	Non-Tumor	1
269	GSM363226	Tumor	0
270	GSM363227	Non-Tumor	1
271	GSM363228	Tumor	0
272	GSM363229	Non-Tumor	1
273	GSM363230	Tumor	0
274	GSM363231	Non-Tumor	1
275	GSM363232	Tumor	0
276	GSM363233	Non-Tumor	1
277	GSM363234	Non-Tumor	1
278	GSM363235	Tumor	0
279	GSM363236	Non-Tumor	1
280	GSM363237	Tumor	0
281	GSM363238	Non-Tumor	1
282	GSM363239	Tumor	0
283	GSM363240	Non-Tumor	1
284	GSM363241	Tumor	0
285	GSM363242	Non-Tumor	1
286	GSM363243	Tumor	0
287	GSM363244	Non-Tumor	1
288	GSM363245	Tumor	0
289	GSM363246	Non-Tumor	1
290	GSM363247	Tumor	0
291	GSM363248	Non-Tumor	1
292	GSM363249	Tumor	0
293	GSM363250	Non-Tumor	1
294	GSM363251	Tumor	0
295	GSM363252	Non-Tumor	1
296	GSM363253	Non-Tumor	1
297	GSM363254	Non-Tumor	1
298	GSM363255	Non-Tumor	1
299	GSM363256	Non-Tumor	1
300	GSM363257	Non-Tumor	1
301	GSM363258	Non-Tumor	1
302	GSM363259	Non-Tumor	1
303	GSM363260	Non-Tumor	1
304	GSM363261	Non-Tumor	1
305	GSM363262	Non-Tumor	1
306	GSM363263	Tumor	0
307	GSM363264	Tumor	0
308	GSM363265	Tumor	0
309	GSM363266	Tumor	0
310	GSM363267	Tumor	0
311	GSM363268	Tumor	0
312	GSM363269	Tumor	0
313	GSM363270	Tumor	0
314	GSM363271	Tumor	0
315	GSM363272	Tumor	0
316	GSM363273	Tumor	0
317	GSM363274	Tumor	0
318	GSM363275	Tumor	0
319	GSM363276	Non-Tumor	1
320	GSM363277	Non-Tumor	1
321	GSM363278	Non-Tumor	1
322	GSM363279	Non-Tumor	1
323	GSM363280	Non-Tumor	1
324	GSM363281	Non-Tumor	1
325	GSM363282	Non-Tumor	1
326	GSM363283	Non-Tumor	1
327	GSM363284	Non-Tumor	1
328	GSM363285	Non-Tumor	1
329	GSM363286	Non-Tumor	1
330	GSM363287	Non-Tumor	1
331	GSM363288	Tumor	0
332	GSM363289	Tumor	0
333	GSM363290	Tumor	0
334	GSM363291	Tumor	0
335	GSM363292	Tumor	0
336	GSM363293	Tumor	0
337	GSM363294	Tumor	0
338	GSM363295	Tumor	0
339	GSM363296	Tumor	0
340	GSM363297	Tumor	0
341	GSM363298	Tumor	0
342	GSM363299	Non-Tumor	1
343	GSM363300	Non-Tumor	1
344	GSM363301	Non-Tumor	1
345	GSM363302	Non-Tumor	1
346	GSM363303	Non-Tumor	1
347	GSM363304	Non-Tumor	1
348	GSM363305	Non-Tumor	1
349	GSM363306	Non-Tumor	1
350	GSM363307	Non-Tumor	1
351	GSM363308	Non-Tumor	1
352	GSM363309	Tumor	0
353	GSM363310	Tumor	0
354	GSM363311	Tumor	0
355	GSM363312	Tumor	0
356	GSM363313	Tumor	0
357	GSM363314	Tumor	0
358	GSM363315	Tumor	0
359	GSM363316	Tumor	0
360	GSM363317	Tumor	0
361	GSM363318	Non-Tumor	1
362	GSM363319	Non-Tumor	1
363	GSM363320	Non-Tumor	1
364	GSM363321	Non-Tumor	1
365	GSM363322	Non-Tumor	1
366	GSM363323	Non-Tumor	1
367	GSM363324	Non-Tumor	1
368	GSM363325	Non-Tumor	1
369	GSM363326	Tumor	0
370	GSM363327	Tumor	0
371	GSM363328	Tumor	0
372	GSM363329	Tumor	0
373	GSM363330	Tumor	0
374	GSM363331	Tumor	0
375	GSM363332	Tumor	0
376	GSM363333	Tumor	0
377	GSM363334	Tumor	0
378	GSM363335	Tumor	0
379	GSM363336	Tumor	0
380	GSM363337	Tumor	0
381	GSM363338	Non-Tumor	1
382	GSM363339	Tumor	0
383	GSM363340	Non-Tumor	1
384	GSM363341	Tumor	0
385	GSM363342	Non-Tumor	1
386	GSM363343	Tumor	0
387	GSM363344	Tumor	0
388	GSM363345	Non-Tumor	1
389	GSM363346	Tumor	0
390	GSM363347	Non-Tumor	1
391	GSM363348	Tumor	0
392	GSM363349	Non-Tumor	1
393	GSM363350	Tumor	0
394	GSM363351	Non-Tumor	1
395	GSM363352	Tumor	0
396	GSM363353	Non-Tumor	1
397	GSM363354	Tumor	0
398	GSM363355	Tumor	0
399	GSM363356	Non-Tumor	1
400	GSM363357	Tumor	0
401	GSM363358	Tumor	0
402	GSM363359	Non-Tumor	1
403	GSM363360	Tumor	0
404	GSM363361	Non-Tumor	1
405	GSM363362	Tumor	0
406	GSM363363	Non-Tumor	1
407	GSM363364	Tumor	0
408	GSM363365	Non-Tumor	1
409	GSM363366	Tumor	0
410	GSM363367	Non-Tumor	1
411	GSM363368	Tumor	0
412	GSM363369	Non-Tumor	1
413	GSM363370	Non-Tumor	1
414	GSM363371	Tumor	0
415	GSM363372	Non-Tumor	1
416	GSM363373	Non-Tumor	1
417	GSM363374	Non-Tumor	1
418	GSM363375	Non-Tumor	1
419	GSM363376	Tumor	0
420	GSM363378	Tumor	0
421	GSM363380	Non-Tumor	1
422	GSM363381	Non-Tumor	1
423	GSM363382	Non-Tumor	1
424	GSM363384	Tumor	0
425	GSM363386	Tumor	0
426	GSM363388	Tumor	0
427	GSM363391	Tumor	0
428	GSM363393	Tumor	0
429	GSM363397	Non-Tumor	1
430	GSM363400	Tumor	0
431	GSM363402	Non-Tumor	1
432	GSM363404	Tumor	0
433	GSM363407	Non-Tumor	1
434	GSM363417	Non-Tumor	1
435	GSM712532	Tumor	0
436	GSM712533	Non-Tumor	1
437	GSM712534	Tumor	0
438	GSM712535	Non-Tumor	1
439	GSM712536	Non-Tumor	1
440	GSM712537	Non-Tumor	1
441	GSM712538	Non-Tumor	1
442	GSM712539	Non-Tumor	1
443	GSM712540	Non-Tumor	1
444	GSM712541	Non-Tumor	1
445	GSM712542	Tumor	0
