gene	cluster
BBS1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt
UBE2U	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt
UBR1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt
CDC34	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt
TNNC2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt
ING3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt
TNNT1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt
TCAP	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt
TNNT2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt
OBSCN	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt
GRIA2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
GYS1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
WT1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
RASGRF1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
HNRNPUL1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
LIPE	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
KHDRBS3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
PPP1CB	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
GRIK2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
GRIA1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
HAUS2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
TAF15	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
TK1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
SF1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
USP8	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
DDX17	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
LASP1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
CEP72	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
STOM	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt
