gene	cluster	p_value	fdr
POLD3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 13 .txt	9.083539873694e-19	3.26641396730608e-18
REV1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 13 .txt	0.0924026646972685	0.112428215281104
SF3B1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 13 .txt	1.6983494899883e-24	7.83551444972835e-24
TAF1A	Genes_SelectbyRFEofFeatureData_expr_label_cluster 13 .txt	1.35667631297714e-27	7.16215263721662e-27
TUBA8	Genes_SelectbyRFEofFeatureData_expr_label_cluster 13 .txt	0.806621877211156	0.829954926354717
LMO4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 14 .txt	0.417964359685766	0.457346609775551
MSH4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 14 .txt	7.97942847421753e-10	1.81802297577189e-09
RMI1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 14 .txt	5.79726840074595e-55	1.04197193358284e-53
ADAM12	Genes_SelectbyRFEofFeatureData_expr_label_cluster 15 .txt	3.73754468037673e-18	1.30884826277014e-17
ATF7IP	Genes_SelectbyRFEofFeatureData_expr_label_cluster 15 .txt	0.285714689083372	0.323096435309597
LEPROT	Genes_SelectbyRFEofFeatureData_expr_label_cluster 15 .txt	1.80621649938968e-08	3.79093056494557e-08
SH3GL2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 15 .txt	5.0381742312994e-32	3.29391686728848e-31
SH3GL3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 15 .txt	0.00206330886049729	0.00299344566997133
COG5	Genes_SelectbyRFEofFeatureData_expr_label_cluster 16 .txt	8.04272079549989e-46	9.92944158405587e-45
FER	Genes_SelectbyRFEofFeatureData_expr_label_cluster 16 .txt	0.640928496090337	0.676365725179149
PPFIA2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 16 .txt	0.125212931309699	0.150034293311374
RAB6B	Genes_SelectbyRFEofFeatureData_expr_label_cluster 16 .txt	7.70324512664972e-22	3.15606575406394e-21
TMF1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 16 .txt	0.130600971839901	0.156122642365136
UNC13B	Genes_SelectbyRFEofFeatureData_expr_label_cluster 16 .txt	8.55226354801114e-24	3.81588495938234e-23
HAP1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 17 .txt	0.0417248127890929	0.0529392018587481
LUC7L2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 17 .txt	0.281644081023866	0.318741265575235
MRPL32	Genes_SelectbyRFEofFeatureData_expr_label_cluster 17 .txt	1.01030282802853e-49	1.45578054809267e-48
MRPL4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 17 .txt	0.235362322878863	0.270089217219027
MRPL55	Genes_SelectbyRFEofFeatureData_expr_label_cluster 17 .txt	3.76419180151651e-22	1.56234692765514e-21
MRPS21	Genes_SelectbyRFEofFeatureData_expr_label_cluster 17 .txt	1.19958705770161e-66	3.42792110617936e-65
NAP1L5	Genes_SelectbyRFEofFeatureData_expr_label_cluster 17 .txt	2.85675201552084e-31	1.79948843677359e-30
PTCD3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 17 .txt	0.000694875754352737	0.00105130443917763
SVIL	Genes_SelectbyRFEofFeatureData_expr_label_cluster 17 .txt	7.71844226204938e-07	1.45703679962569e-06
HERC2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 18 .txt	3.70828190528682e-11	9.14308090704868e-11
HIST1H2AA	Genes_SelectbyRFEofFeatureData_expr_label_cluster 18 .txt	0.00424665291646046	0.00598106051767303
HIST1H3I	Genes_SelectbyRFEofFeatureData_expr_label_cluster 18 .txt	7.98135084621081e-11	1.93596285547216e-10
HIST1H3J	Genes_SelectbyRFEofFeatureData_expr_label_cluster 18 .txt	0.195072738141385	0.226667614518825
ANXA5	Genes_SelectbyRFEofFeatureData_expr_label_cluster 19 .txt	2.24251964507849e-09	4.9886622237882e-09
BMP2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 19 .txt	3.38756044474007e-05	5.67363391576238e-05
CD1D	Genes_SelectbyRFEofFeatureData_expr_label_cluster 19 .txt	8.43190088537672e-65	2.2752712919612e-63
CHRD	Genes_SelectbyRFEofFeatureData_expr_label_cluster 19 .txt	1.30544736922533e-20	5.08045756967456e-20
COL2A1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 19 .txt	3.33364081185918e-20	1.27829355367672e-19
COL5A1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 19 .txt	0.684663126670392	0.716866816346017
HLA.DMB	Genes_SelectbyRFEofFeatureData_expr_label_cluster 19 .txt	NA	NA
IFNGR2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 19 .txt	0.528803982751832	0.568059442083885
SPARC	Genes_SelectbyRFEofFeatureData_expr_label_cluster 19 .txt	1.15510379592739e-09	2.61072448699608e-09
AKT2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	8.29008743075785e-18	2.85687870708332e-17
ARID3A	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	1.3491948275826e-32	9.00614106364682e-32
BID	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	2.34889089586146e-05	3.98188086712192e-05
CAD	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	6.31378553831353e-38	5.50386806180493e-37
CASP14	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	2.28072753839017e-05	3.87149028000053e-05
CDC37	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	0.000447774586214637	0.000689243586860569
CHRM4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	0.344744686200693	0.383497834086348
CNTN2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	0.958111844697083	0.962558937004091
CRTC2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	6.56169208296217e-38	5.71018764413808e-37
CRY1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	0.000146828728595063	0.000234745977683102
EIF2AK3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	5.54332565155929e-12	1.42584707593711e-11
ERBB2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	8.98641164984638e-06	1.57428561587545e-05
HIST1H4D	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	0.159372165142933	0.187867095712521
HSBP1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	0.00022948573903927	0.000362059308816143
HSF1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	0.319252737541405	0.357643222002941
HSPA1L	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	2.42464518988694e-16	7.8007322949778e-16
MARK2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	1.63308132978416e-13	4.5754162401251e-13
NFKB2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	0.00124158226439968	0.00183344699894585
NPAS2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	6.29012127814003e-21	2.49179921193608e-20
NR5A1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	0.347532764011902	0.386345842890731
SUB1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	4.2100357775811e-19	1.53617984093732e-18
TNFRSF8	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	0.0095771418886964	0.0130303951362456
TOMM34	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	3.8001779469124e-28	2.06677698478591e-27
TRIB3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	4.13189545402425e-12	1.06847413456504e-11
YBX3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	3.42992246535973e-21	1.36887411691269e-20
ZFAND5	Genes_SelectbyRFEofFeatureData_expr_label_cluster 2 .txt	7.81489408849803e-13	2.10208666214411e-12
ADRB2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	1.50431015183555e-21	6.08482989050618e-21
AGTR1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	3.05063482696491e-47	4.02517614717432e-46
CNR1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	3.27435995405937e-15	1.00543506829599e-14
CRHR1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	8.19354392708529e-11	1.98506602453533e-10
GHSR	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	0.000476015111186579	0.000730723061128877
GNAS	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	0.00020203885499996	0.000320246380790681
GNAT3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	0.0886221667396586	0.108073999309823
GNGT1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	2.10746337837249e-12	5.53127578642502e-12
GPSM2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	2.69139567365374e-61	6.18048943297506e-60
LPAR3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	0.0391314203784655	0.0498103027415077
NPY2R	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	0.16722766190076	0.196512302704913
PLCB3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	0.0485823577022767	0.0611139266607223
RGS16	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	0.0489733667528499	0.0615829493172734
TSHR	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	1.14453307526384e-11	2.89131735154185e-11
TTC1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 20 .txt	3.30769734190509e-23	1.43310072654176e-22
ACAN	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	3.05872637746825e-13	8.42350390849608e-13
DPP4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	0.686963100688352	0.718978973590803
ECM1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	1.22839693842246e-143	6.24824102728582e-141
FGF13	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	0.000209762060817714	0.000332125983610678
GPC3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	1.56145601676425e-70	5.25983180746448e-69
LDLRAP1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	0.654002556213872	0.688453058851466
MAP3K2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	0.0431409461521489	0.0546548825089175
MATN2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	3.58287625581963e-07	6.8966130842863e-07
SDC4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	1.2581813019266e-14	3.75351272272707e-14
SERPINB8	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	1.24646531076177e-69	3.96259112699357e-68
SORL1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	2.09614951951465e-36	1.7059303249618e-35
SRPRB	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	3.19279813660495e-05	5.3606759273283e-05
STYXL1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	0.593605149665038	0.63074422263865
TFAP2A	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	0.0119887280901233	0.0161795344734444
ZNF8	Genes_SelectbyRFEofFeatureData_expr_label_cluster 3 .txt	3.21298049633531e-23	1.39325023824463e-22
ARHGAP32	Genes_SelectbyRFEofFeatureData_expr_label_cluster 4 .txt	0.0054317814262178	0.00757263429476685
ATG16L1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 4 .txt	0.283981395733343	0.321279219172075
CDK14	Genes_SelectbyRFEofFeatureData_expr_label_cluster 4 .txt	2.70332715874944e-09	5.97716739533972e-09
CDK17	Genes_SelectbyRFEofFeatureData_expr_label_cluster 4 .txt	7.09946824780386e-09	1.52982187004678e-08
EIF2AK1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 4 .txt	3.95588922157371e-15	1.20995974296661e-14
KCNB1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 4 .txt	0.693735126004167	0.725096829018842
MEGF10	Genes_SelectbyRFEofFeatureData_expr_label_cluster 4 .txt	1.21096944082212e-12	3.22070382261004e-12
DNAAF5	Genes_SelectbyRFEofFeatureData_expr_label_cluster 5 .txt	2.67989154024308e-28	1.4696785250077e-27
DYNC1I1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 5 .txt	3.46337649924948e-18	1.21576705061646e-17
EFNA4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 5 .txt	1.51714376886285e-81	7.56563900031458e-80
GOLM1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 5 .txt	0.279443954995836	0.316496461357867
KLRC3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 5 .txt	6.92801400682505e-36	5.47194770896205e-35
PTPRJ	Genes_SelectbyRFEofFeatureData_expr_label_cluster 5 .txt	3.74929721967546e-28	2.04293522312579e-27
SCAF11	Genes_SelectbyRFEofFeatureData_expr_label_cluster 5 .txt	0.00528525876688703	0.00737948633482593
VPREB1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 5 .txt	0.000980976207750602	0.0014658447358177
AFAP1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.387968512243045	0.427235730141642
ANAPC4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	5.60625851463248e-10	1.2885781262846e-09
CBLL1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	1.02869455213411e-19	3.85589892367733e-19
CDC26	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.00627750224727273	0.00870397033685505
CDH1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	2.00509896363081e-20	7.744066726278e-20
CELF3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	1.19851888254916e-19	4.48254874712228e-19
CSE1L	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	1.85587733515885e-31	1.17925297505128e-30
ESR2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	2.32149907870947e-05	3.93675781425428e-05
EXOC1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.299959864097801	0.338040511517329
EXOC5	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.409460977483543	0.448862771976302
GJA3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.000134914076569633	0.000216377250661024
GZMA	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	1.31534829048843e-25	6.36889012810033e-25
KPNA4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.0492371235246229	0.0618916665780291
KPNA6	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	4.94567524619769e-17	1.64419458429964e-16
LMNB1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	3.84039124421198e-36	3.08109622455588e-35
LZTS2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	2.41947495015083e-09	5.37291392007954e-09
MAP2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	1.43955122495393e-09	3.234935854088e-09
METAP2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.000775247712377091	0.00116821137283545
PCBP4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	1.04765545191468e-22	4.44630743109221e-22
PLEC	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	1.05225680478447e-17	3.6091060266596e-17
PPP5C	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.60155252500178	0.638455277709244
PRKCG	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.591913621680432	0.629134912934846
PRPH2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.964966209309117	0.968679815206399
PTPN14	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	8.89942561115704e-11	2.15351704905567e-10
RBFOX1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.00331823172808702	0.00472381351383001
RBFOX2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	3.65193683686653e-37	3.06274966541164e-36
RNF138	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	1.95752687197086e-08	4.10004547427622e-08
RNMT	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.0011328572155342	0.00168069949739382
SET	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.000469085490962942	0.000720738060650356
SGO2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	3.18508342298156e-105	3.6406577148305e-103
SLC25A23	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.0835333238207283	0.10211301408655
SPTA1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.0826223747370702	0.101060168113528
SPTB	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.532387718657144	0.57142648891107
TJP1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.016995764203382	0.0225010293129886
TOP2A	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	1.98640075053334e-131	5.05191370879393e-129
TOP2B	Genes_SelectbyRFEofFeatureData_expr_label_cluster 6 .txt	0.368535753917166	0.407734010288128
BBS1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt	0.000976202379477066	0.00145978344942234
CDC34	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt	0.0591455121133322	0.0737181199128803
EPAS1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt	3.39640319828482e-30	2.02767662770842e-29
FBXW11	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt	2.26042018504694e-13	6.26573693255653e-13
HERC6	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt	1.1495705317934e-05	1.99634363604204e-05
MRM3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt	5.94392029614429e-25	2.80331484342494e-24
SYVN1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt	7.89638202756877e-07	1.48841753504645e-06
UBE2U	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt	8.2046973602483e-05	0.000133588966462558
UBOX5	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt	8.80413543890487e-12	2.23799274912492e-11
UBR1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 7 .txt	0.783793005419425	0.809166454651087
ING3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt	0.0997438160878813	0.12088323100572
OBSCN	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt	0.169634360680889	0.199110459352335
TCAP	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt	1.51955189702276e-09	3.4124506508637e-09
TNNC2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt	3.23017770517588e-07	6.23659096503212e-07
TNNT1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt	2.05613197531095e-09	4.58204393972361e-09
TNNT2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 8 .txt	6.63235790448956e-09	1.43372241738998e-08
CEP72	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	8.57990764992177e-51	1.30663773237506e-49
DDX17	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	0.0435335464258255	0.0550897832802491
GRIA1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	1.72349527082816e-06	3.17686490127466e-06
GRIA2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	1.58942530300419e-07	3.13904554600303e-07
GRIK2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	0.140145519471548	0.166651124439984
GYS1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	3.60622665056069e-09	7.92186217148649e-09
HAUS2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	4.14056245796732e-37	3.45828751107566e-36
HNRNPUL1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	2.70951138065852e-19	9.97245270457277e-19
KHDRBS3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	0.150401993568	0.178056497214857
LASP1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	8.58689986744967e-57	1.67345847416792e-55
LIPE	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	0.0132632477826258	0.0177957029402073
PPP1CB	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	0.371061810844736	0.410261037031138
RASGRF1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	0.0309728268850321	0.0398339529584616
SF1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	1.62984513902986e-06	3.00860362898762e-06
STOM	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	6.34571894189746e-27	3.27026336352193e-26
TAF15	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	0.000554024298832875	0.000844484445913521
TK1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	1.89588124838773e-70	6.36528050820078e-69
USP8	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	0.807600040002238	0.830709323250027
WT1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 9 .txt	1.38173275966759e-08	2.91807501849667e-08
